RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,23500000
2,Amar'e Stoudemire,PF,New York Knicks,23410988
3,Joe Johnson,SF,Brooklyn Nets,23180790
4,Carmelo Anthony,SF,New York Knicks,22458401
5,Dwight Howard,C,Houston Rockets,21436271
6,Chris Bosh,C,Miami Heat,20644400
7,LeBron James,SF,Cleveland Cavaliers,20644400
8,Chris Paul,PG,Los Angeles Clippers,20068563
9,Deron Williams,PG,Brooklyn Nets,19754465
10,Rudy Gay,SF,Sacramento Kings,19317326
11,Kevin Durant,SF,Oklahoma City Thunder,18995624
12,Derrick Rose,PG,Chicago Bulls,18862876
13,Blake Griffin,PF,Los Angeles Clippers,17674613
14,Zach Randolph,PF,Memphis Grizzlies,16500000
15,LaMarcus Aldridge,PF,Portland Trail Blazers,16006000
16,Paul George,SF,Indiana Pacers,15937290
17,Marc Gasol,C,Memphis Grizzlies,15829688
18,Kevin Love,PF,Cleveland Cavaliers,15719063
19,Russell Westbrook,PG,Oklahoma City Thunder,15719062
20,Brook Lopez,C,Brooklyn Nets,15719062
21,David Lee,PF,Golden State Warriors,15012000
22,Dwyane Wade,SG,Miami Heat,15000000
23,Roy Hibbert,C,Indiana Pacers,14898938
24,Eric Gordon,SG,New Orleans Pelicans,14898938
25,Tyson Chandler,C,Dallas Mavericks,14846888
26,John Wall,PG,Washington Wizards,14746000
27,DeMarcus Cousins,C,Sacramento Kings,14746000
28,James Harden,SG,Houston Rockets,14728844
29,Chandler Parsons,SF,Dallas Mavericks,14700000
30,Al Jefferson,C,Charlotte Hornets,13500000
31,Josh Smith,SF,Detroit Pistons,13500000
32,Nene Hilario,PF,Washington Wizards,13000000
33,Eric Bledsoe,PG,Phoenix Suns,13000000
34,Andrew Bogut,C,Golden State Warriors,12972973
35,Derrick Favors,PF,Utah Jazz,12950000
36,Rajon Rondo,PG,Boston Celtics,12909090
37,Joakim Noah,C,Chicago Bulls,12700000
38,Tony Parker,PG,San Antonio Spurs,12500000
39,Serge Ibaka,PF,Oklahoma City Thunder,12350000
40,Andre Iguodala,SG,Golden State Warriors,12289544
41,Nikola Pekovic,C,Minnesota Timberwolves,12100000
42,David West,PF,Indiana Pacers,12000000
43,Kyle Lowry,PG,Toronto Raptors,12000000
44,Al Horford,C,Atlanta Hawks,12000000
45,Nicolas Batum,SF,Portland Trail Blazers,11765500
46,Ty Lawson,PG,Denver Nuggets,11595506
47,Andrea Bargnani,C,New York Knicks,11500000
48,DeAndre Jordan,C,Los Angeles Clippers,11440123
49,Tyreke Evans,SF,New Orleans Pelicans,11265416
50,JaVale McGee,C,Denver Nuggets,11250000
51,Larry Sanders,C,Milwaukee Bucks,11000000
52,Danilo Gallinari,SF,Denver Nuggets,10854850
53,Stephen Curry,PG,Golden State Warriors,10629213
54,Marcin Gortat,C,Washington Wizards,10434782
55,Jrue Holiday,PG,New Orleans Pelicans,10404495
56,Tim Duncan,PF,San Antonio Spurs,10361446
57,Gerald Wallace,SF,Boston Celtics,10105855
58,DeMar DeRozan,SG,Toronto Raptors,10100000
59,Luol Deng,SF,Miami Heat,9714461
60,Anderson Varejao,C,Cleveland Cavaliers,9704545
61,Steve Nash,PG,Los Angeles Lakers,9701000
62,Kendrick Perkins,C,Oklahoma City Thunder,9654342
63,Paul Millsap,PF,Atlanta Hawks,9500000
64,Thaddeus Young,SF,Minnesota Timberwolves,9410869
65,Tiago Splitter,PF,San Antonio Spurs,9250000
66,Jeff Green,SF,Boston Celtics,9200000
67,Lance Stephenson,SG,Charlotte Hornets,9000000
68,Jordan Hill,C,Los Angeles Lakers,9000000
69,Mike Conley,PG,Memphis Grizzlies,8694216
70,Trevor Ariza,SF,Houston Rockets,8579089
71,Channing Frye,PF,Orlando Magic,8579088
72,Marcus Thornton,SG,Boston Celtics,8575000
73,Ryan Anderson,PF,New Orleans Pelicans,8491500
74,Jeremy Lin,PG,Los Angeles Lakers,8374646
75,Omer Asik,C,New Orleans Pelicans,8374646
76,Monta Ellis,SG,Dallas Mavericks,8360000
77,George Hill,PG,Indiana Pacers,8000000
78,O.J. Mayo,SG,Milwaukee Bucks,8000000
79,Jeff Teague,PG,Atlanta Hawks,8000000
80,Dirk Nowitzki,PF,Dallas Mavericks,7974482
81,Ersan Ilyasova,PF,Milwaukee Bucks,7900000
82,Tayshaun Prince,SF,Memphis Grizzlies,7707865
83,Boris Diaw,PF,San Antonio Spurs,7500000
84,Arron Afflalo,SG,Denver Nuggets,7500000
85,Wesley Matthews,SG,Portland Trail Blazers,7245640
86,Isaiah Thomas,PG,Phoenix Suns,7238606
87,Avery Bradley,PG,Boston Celtics,7191011
88,Pau Gasol,PF,Chicago Bulls,7128000
89,Jose Calderon,PG,New York Knicks,7097191
90,Kyrie Irving,PG,Cleveland Cavaliers,7070730
91,Marvin Williams,PF,Charlotte Hornets,7000000
92,Amir Johnson,PF,Toronto Raptors,7000000
93,Manu Ginobili,SG,San Antonio Spurs,7000000
94,Brandon Bass,PF,Boston Celtics,6900000
95,Kevin Martin,SG,Minnesota Timberwolves,6792500
96,J.J. Redick,SG,Los Angeles Clippers,6792500
97,Wilson Chandler,SF,Denver Nuggets,6757913
98,Jason Richardson,SG,Philadelphia 76ers,6601125
99,Carl Landry,PF,Sacramento Kings,6500000
100,Greivis Vasquez,PG,Toronto Raptors,6400000
101,Derrick Williams,PF,Sacramento Kings,6331404
102,Jarrett Jack,PG,Brooklyn Nets,6300000
103,Kyle Korver,SG,Atlanta Hawks,6253521
104,Landry Fields,SG,Toronto Raptors,6250000
105,Robin Lopez,C,Portland Trail Blazers,6124729
106,Jason Thompson,PF,Sacramento Kings,6037500
107,Gerald Henderson,SG,Charlotte Hornets,6000000
108,Jodie Meeks,SG,Detroit Pistons,6000000
109,J.R. Smith,SG,New York Knicks,5982375
110,Chuck Hayes,C,Toronto Raptors,5958750
111,Jason Terry,SG,Houston Rockets,5850313
112,Patrick Patterson,PF,Toronto Raptors,5831326
113,P.J. Tucker,SF,Phoenix Suns,5700000
114,Enes Kanter,C,Utah Jazz,5694674
115,Anthony Davis,PF,New Orleans Pelicans,5607240
116,Anthony Bennett,PF,Minnesota Timberwolves,5563920
117,Andrew Wiggins,SF,Minnesota Timberwolves,5510640
118,Greg Monroe,PF,Detroit Pistons,5479934
119,Louis Williams,SG,Toronto Raptors,5450000
120,Courtney Lee,SG,Memphis Grizzlies,5450000
