RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,25244493
2,Kevin Garnett,PF,Boston Celtics,21247044
3,Tim Duncan,PF,San Antonio Spurs,21164619
4,Rashard Lewis,PF,Washington Wizards,21136631
5,Dirk Nowitzki,PF,Dallas Mavericks,19092873
6,Pau Gasol,PF,Los Angeles Lakers,18714150
7,Carmelo Anthony,SF,New York Knicks,18518574
8,Amar'e Stoudemire,PF,New York Knicks,18217705
9,Elton Brand,PF,Philadelphia 76ers,18160355
10,Dwight Howard,C,Orlando Magic,18091770
11,Joe Johnson,SF,Atlanta Hawks,18038573
12,Andrei Kirilenko,SF,Brooklyn Nets,17823000
13,Chris Bosh,C,Miami Heat,17545000
14,LeBron James,SF,Miami Heat,17545000
15,Deron Williams,PG,New Jersey Nets,16359805
16,Chris Paul,PG,Los Angeles Clippers,16359805
17,Dwyane Wade,SG,Miami Heat,15691000
18,Kevin Durant,SF,Oklahoma City Thunder,15506632
19,Paul Pierce,SF,Boston Celtics,15333334
20,Zach Randolph,PF,Memphis Grizzlies,15200000
21,Antawn Jamison,PF,Cleveland Cavaliers,15076715
22,Rudy Gay,SF,Memphis Grizzlies,15032144
23,Brandon Roy,SG,Minnesota Timberwolves,15032144
24,Al Jefferson,C,Utah Jazz,15000000
25,Andrew Bynum,C,Los Angeles Lakers,14900000
26,Andre Iguodala,SG,Philadelphia 76ers,14718250
27,Manu Ginobili,SG,San Antonio Spurs,14107492
28,Chris Kaman,C,New Orleans Hornets,14030000
29,LaMarcus Aldridge,PF,Portland Trail Blazers,14000000
30,Carlos Boozer,PF,Chicago Bulls,13500000
31,Tyson Chandler,C,New York Knicks,13107837
32,Nene Hilario,PF,Washington Wizards,13000000
33,Marc Gasol,C,Memphis Grizzlies,12922194
34,Emeka Okafor,C,New Orleans Hornets,12642500
35,Tony Parker,PG,San Antonio Spurs,12500000
36,Al Horford,C,Atlanta Hawks,12498483
