RK,PLAYER,POS,TEAM,SALARY
1,Shaquille O'Neal,C,Los Angeles Lakers,17142000
2,Kevin Garnett,PF,Minnesota Timberwolves,16806000
3,Alonzo Mourning,C,Miami Heat,15004000
4,Juwan Howard,PF,Washington Wizards,15000000
5,Scottie Pippen,SF,Portland Trail Blazers,14795000
6,Karl Malone,PF,Utah Jazz,14000000
7,Larry Johnson,F,New York Knicks,11910000
8,Gary Payton,PG,Seattle SuperSonics,11020000
9,Rasheed Wallace,PF,Portland Trail Blazers,10800000
10,Shawn Kemp,C,Cleveland Cavaliers,10780000
11,Damon Stoudamire,PG,Portland Trail Blazers,10125000
12,Antonio McDyess,PF,Denver Nuggets,9900000
13,Ray Allen,SG,Milwaukee Bucks,9000000
14,Antoine Walker,PF,Boston Celtics,9000000
15,Stephon Marbury,PG,New Jersey Nets,9000000
16,Vlade Divac,C,Sacramento Kings,8837000
17,Bryant Reeves,C,Vancouver Grizzlies,8666000
18,Tom Gugliotta,PF,Phoenix Suns,8558000
19,Nick Van Exel,PG,Denver Nuggets,8354000
20,Elden Campbell,C,Charlotte Hornets,7975000
21,Terrell Brandon,PG,Minnesota Timberwolves,7400000
22,Derrick Coleman,PF,Charlotte Hornets,7370000
23,Glenn Robinson,SF,Milwaukee Bucks,7250000
24,Steve Smith,SG,Portland Trail Blazers,7200000
25,Kerry Kittles,SG,New Jersey Nets,7166000
26,Chris Dudley,C,New York Knicks,7100000
27,Theo Ratliff,C,Philadelphia 76ers,7031000
28,Matt Geiger,C,Philadelphia 76ers,6889000
29,Jason Kidd,PG,Phoenix Suns,6858000
30,Kenny Anderson,PG,Boston Celtics,6680000
31,Tyrone Hill,PF,Philadelphia 76ers,6422000
32,Clifford Robinson,PF,Phoenix Suns,6125000
33,Jamal Mashburn,SF,Miami Heat,5600000
34,Steve Nash,PG,Dallas Mavericks,5500000
35,Alan Henderson,PF,Atlanta Hawks,5318000
36,Donyell Marshall,PF,Golden State Warriors,5250000
37,Marcus Camby,C,New York Knicks,5250000
38,Greg Ostertag,C,Utah Jazz,5200000
39,Luc Longley,C,Phoenix Suns,5175000
40,P.J. Brown,PF,Miami Heat,5124000
41,Jermaine O'Neal,C,Portland Trail Blazers,5075000
42,Erick Dampier,C,Golden State Warriors,4988000
43,Wesley Person,SF,Cleveland Cavaliers,4900000
44,Isaac Austin,C,Washington Wizards,4819000
45,Loy Vaught,F,Detroit Pistons,4810000
46,Derrick McKey,F,Indiana Pacers,4800000
47,Robert Horry,PF,Los Angeles Lakers,4800000
48,Jim McIlvaine,C,New Jersey Nets,4800000
49,Jerry Stackhouse,SF,Detroit Pistons,4781000
50,Charlie Ward,PG,New York Knicks,4540000
51,Dale Davis,PF,Indiana Pacers,4490000
52,Lorenzen Wright,PF,Atlanta Hawks,4400000
53,Mookie Blaylock,G,Golden State Warriors,4200000
54,Chris Mills,SF,Golden State Warriors,4200000
55,Chris Childs,G,New York Knicks,4160000
