RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,30453805
2,Dirk Nowitzki,PF,Dallas Mavericks,22721381
3,Amar'e Stoudemire,PF,New York Knicks,21679893
4,Joe Johnson,SF,Brooklyn Nets,21466718
5,Carmelo Anthony,SF,New York Knicks,21388953
6,Dwight Howard,C,Houston Rockets,20513178
7,Pau Gasol,PF,Los Angeles Lakers,19285850
8,Chris Bosh,C,Miami Heat,19067500
9,LeBron James,SF,Miami Heat,19067500
10,Dwyane Wade,SG,Miami Heat,18673000
11,Chris Paul,PG,Los Angeles Clippers,18668431
12,Deron Williams,PG,Brooklyn Nets,18466130
13,Zach Randolph,PF,Memphis Grizzlies,18238333
14,Rudy Gay,SF,Toronto Raptors,17888932
15,Kevin Durant,SF,Oklahoma City Thunder,17832627
16,Derrick Rose,PG,Chicago Bulls,17632688
17,Blake Griffin,PF,Los Angeles Clippers,16441500
18,Paul Pierce,SF,Brooklyn Nets,15333334
19,Carlos Boozer,PF,Chicago Bulls,15300000
20,LaMarcus Aldridge,PF,Portland Trail Blazers,14878000
21,Marc Gasol,C,Memphis Grizzlies,14860523
22,Russell Westbrook,PG,Oklahoma City Thunder,14693906
23,Kevin Love,PF,Minnesota Timberwolves,14693906
24,Emeka Okafor,C,Phoenix Suns,14487500
25,Roy Hibbert,C,Indiana Pacers,14283844
26,Eric Gordon,SG,New Orleans Pelicans,14283844
27,Luol Deng,SF,Cleveland Cavaliers,14275000
28,Tyson Chandler,C,New York Knicks,14100538
29,Andrew Bogut,C,Golden State Warriors,14000000
30,David Lee,PF,Golden State Warriors,13878000
31,James Harden,SG,Houston Rockets,13701250
32,Al Jefferson,C,Charlotte Bobcats,13500000
33,Josh Smith,SF,Detroit Pistons,13500000
34,Nene Hilario,PF,Washington Wizards,13000000
35,Andre Iguodala,SG,Golden State Warriors,12868632
36,Tony Parker,PG,San Antonio Spurs,12500000
37,Kevin Garnett,PF,Brooklyn Nets,12433735
38,Serge Ibaka,PF,Oklahoma City Thunder,12350000
39,Nikola Pekovic,C,Minnesota Timberwolves,12100000
40,David West,PF,Indiana Pacers,12000000
41,Kris Humphries,PF,Boston Celtics,12000000
42,Al Horford,C,Atlanta Hawks,12000000
43,Rajon Rondo,PG,Boston Celtics,11954545
44,Andrea Bargnani,C,New York Knicks,11862500
45,Tyreke Evans,SF,New Orleans Pelicans,11796247
46,Nicolas Batum,SF,Portland Trail Blazers,11295250
47,Joakim Noah,C,Chicago Bulls,11100000
48,Richard Jefferson,SF,Utah Jazz,11046000
49,DeAndre Jordan,C,Los Angeles Clippers,10986550
50,Ty Lawson,PG,Denver Nuggets,10786517
51,JaVale McGee,C,Denver Nuggets,10750000
52,Tim Duncan,PF,San Antonio Spurs,10361446
53,Danilo Gallinari,SF,Denver Nuggets,10146925
54,Gerald Wallace,SF,Boston Celtics,10105855
55,Tiago Splitter,PF,San Antonio Spurs,10000000
56,Stephen Curry,PG,Golden State Warriors,9887642
57,Jrue Holiday,PG,New Orleans Pelicans,9713484
58,DeMar DeRozan,SG,Toronto Raptors,9500000
59,Paul Millsap,PF,Atlanta Hawks,9500000
60,Shawn Marion,SF,Dallas Mavericks,9316796
61,Steve Nash,PG,Los Angeles Lakers,9300500
62,Anderson Varejao,C,Cleveland Cavaliers,9036364
63,Thaddeus Young,SF,Philadelphia 76ers,8850000
64,Kendrick Perkins,C,Oklahoma City Thunder,8727437
65,Jeff Green,SF,Boston Celtics,8700000
66,Mike Conley,PG,Memphis Grizzlies,8600001
67,Charlie Villanueva,PF,Detroit Pistons,8580000
68,Rodney Stuckey,PG,Detroit Pistons,8500000
69,Jeremy Lin,PG,Houston Rockets,8374646
70,Omer Asik,C,Houston Rockets,8374646
71,Ryan Anderson,PF,New Orleans Pelicans,8308500
72,Marcus Thornton,SG,Sacramento Kings,8050000
