RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,30453805
2,Dirk Nowitzki,PF,Dallas Mavericks,20907128
3,Amar'e Stoudemire,PF,New York Knicks,19948799
4,Joe Johnson,SF,Brooklyn Nets,19752645
5,Carmelo Anthony,SF,New York Knicks,19444503
6,Pau Gasol,PF,Los Angeles Lakers,19285850
7,Chris Bosh,C,Miami Heat,19067500
8,LeBron James,SF,Miami Heat,19067500
9,Dwyane Wade,SG,Miami Heat,18673000
10,Chris Paul,PG,Los Angeles Clippers,18668431
11,Kevin Durant,SF,Oklahoma City Thunder,17832626
12,Derrick Rose,PG,Chicago Bulls,17632688
13,Deron Williams,PG,Brooklyn Nets,17177795
14,Andrew Bynum,C,Philadelphia 76ers,16889000
15,Paul Pierce,SF,Boston Celtics,16790345
16,Zach Randolph,PF,Memphis Grizzlies,16500000
17,Rudy Gay,SF,Memphis Grizzlies,16460538
18,Carlos Boozer,PF,Chicago Bulls,15300000
19,Andre Iguodala,SG,Denver Nuggets,14968250
20,Russell Westbrook,PG,Oklahoma City Thunder,14693906
21,Emeka Okafor,C,Washington Wizards,14487500
22,Luol Deng,SF,Chicago Bulls,14275000
23,Manu Ginobili,SG,San Antonio Spurs,14107492
24,Marc Gasol,C,Memphis Grizzlies,13891359
25,Blake Griffin,PF,Los Angeles Clippers,13701250
26,Brook Lopez,C,Brooklyn Nets,13668750
27,Eric Gordon,SG,New Orleans Hornets,13668750
28,Tyson Chandler,C,New York Knicks,13604188
29,Al Jefferson,C,Utah Jazz,13500000
30,LaMarcus Aldridge,PF,Portland Trail Blazers,13500000
31,Ben Gordon,SG,Charlotte Bobcats,13200000
32,Josh Smith,SF,Atlanta Hawks,13200000
33,Danny Granger,SF,Indiana Pacers,13058606
34,Nene Hilario,PF,Washington Wizards,13000000
35,Andrew Bogut,C,Golden State Warriors,13000000
36,David Lee,PF,Golden State Warriors,12744000
37,Tony Parker,PG,San Antonio Spurs,12500000
38,Kevin Martin,SG,Oklahoma City Thunder,12439675
39,Serge Ibaka,PF,Oklahoma City Thunder,12350000
40,Kris Humphries,PF,Brooklyn Nets,12000000
41,Hedo Turkoglu,SF,Orlando Magic,12000000
42,Al Horford,C,Atlanta Hawks,12000000
43,Kevin Garnett,PF,Boston Celtics,11566265
44,Joakim Noah,C,Chicago Bulls,11100000
45,Jose Calderon,PG,Toronto Raptors,11046591
46,Monta Ellis,SG,Milwaukee Bucks,11000000
47,Rajon Rondo,PG,Boston Celtics,11000000
48,DeAndre Jordan,C,Los Angeles Clippers,10986550
49,Corey Maggette,SF,Detroit Pistons,10924138
50,Mehmet Okur,C,Brooklyn Nets,10890000
51,Nicolas Batum,SF,Portland Trail Blazers,10850000
52,Richard Jefferson,SF,Golden State Warriors,10164000
53,Stephen Jackson,SF,San Antonio Spurs,10059750
54,David West,PF,Indiana Pacers,10000000
55,Andrea Bargnani,C,Toronto Raptors,10000000
56,JaVale McGee,C,Denver Nuggets,10000000
57,Andrei Kirilenko,SF,Minnesota Timberwolves,9779349
58,Gerald Wallace,SF,Brooklyn Nets,9682435
59,Tim Duncan,PF,San Antonio Spurs,9638554
60,Cuttino Mobley,SG,Los Angeles Clippers,9500000
61,Danilo Gallinari,SF,Denver Nuggets,9439000
62,Steve Nash,PG,Los Angeles Lakers,9300500
63,Andris Biedrins,C,Golden State Warriors,9000000
64,Ryan Anderson,PF,New Orleans Hornets,8700000
65,Shawn Marion,SF,Dallas Mavericks,8646364
66,Paul Millsap,PF,Utah Jazz,8603633
67,Jameer Nelson,PG,Orlando Magic,8600000
68,Rodney Stuckey,PG,Detroit Pistons,8500000
69,Mo Williams,PG,Utah Jazz,8500000
70,Devin Harris,PG,Atlanta Hawks,8500000
71,Kendrick Perkins,C,Oklahoma City Thunder,8477437
72,Jeff Green,SF,Boston Celtics,8385000
73,Jeremy Lin,PG,Houston Rockets,8374646
74,Omer Asik,C,Houston Rockets,8374646
75,Anderson Varejao,C,Cleveland Cavaliers,8368182
76,Thaddeus Young,SF,Philadelphia 76ers,8289130
77,Marvin Williams,PF,Utah Jazz,8287500
78,John Salmons,SF,Sacramento Kings,8083000
79,Charlie Villanueva,PF,Detroit Pistons,8060000
80,George Hill,PG,Indiana Pacers,8000000
81,Tyrus Thomas,PF,Charlotte Bobcats,8000000
82,Chris Kaman,C,Dallas Mavericks,8000000
83,Caron Butler,SF,Los Angeles Clippers,8000000
84,Mark Blount,C,Miami Heat,7967375
85,Ersan Ilyasova,PF,Milwaukee Bucks,7900000
86,Arron Afflalo,SG,Orlando Magic,7750000
87,Metta World Peace,SF,Los Angeles Lakers,7727500
88,Marcin Gortat,C,Phoenix Suns,7727280
89,Trevor Ariza,SF,Washington Wizards,7727280
90,James Posey,SF,Indiana Pacers,7595600
91,Marcus Thornton,SG,Sacramento Kings,7525000
92,Mike Conley,PG,Memphis Grizzlies,7505786
93,Goran Dragic,SG,Phoenix Suns,7500000
94,John Wall,PG,Washington Wizards,7459925
95,Taj Gibson,PF,Chicago Bulls,7415730
96,Beno Udrih,PG,Orlando Magic,7372000
97,Al Harrington,PF,Orlando Magic,7148600
98,Tayshaun Prince,SF,Memphis Grizzlies,6764045
99,J.J. Redick,SG,Orlando Magic,6750000
100,Samuel Dalembert,C,Milwaukee Bucks,6698565
101,Drew Gooden,PF,Milwaukee Bucks,6687400
102,Morris Peterson,SG,Oklahoma City Thunder,6665000
103,Andres Nocioni,SF,Philadelphia 76ers,6650000
104,Jerome James,C,Chicago Bulls,6600000
105,Wesley Matthews,SG,Portland Trail Blazers,6505320
106,Spencer Hawes,PF,Philadelphia 76ers,6500000
107,Channing Frye,PF,Phoenix Suns,6400000
108,Glen Davis,PF,Orlando Magic,6400000
109,Landry Fields,SG,Toronto Raptors,6250000
110,Mike Miller,SF,Miami Heat,6200000
111,Francisco Garcia,SG,Sacramento Kings,6100000
112,Luke Walton,SF,Cleveland Cavaliers,6091363
113,Amir Johnson,PF,Toronto Raptors,6050000
114,Michael Beasley,SF,Phoenix Suns,6000000
115,Brandon Bass,PF,Boston Celtics,6000000
116,Wilson Chandler,SF,Denver Nuggets,5930414
117,James Harden,SG,Houston Rockets,5820417
118,Jason Richardson,SG,Philadelphia 76ers,5799625
