TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Fab Melo,C,6,0,6.0,1.2,0.0,0.5,0.5,0.0,0.33,0.33,0.2,1.2,0.0,5.0,0.5,1.0,0.5,0.0,0.0,0.0,0.2,0.7,0.25,0.5,1.0,0.5,1.167,0.5
BOS,Terrence Williams,SG,24,0,13.3,4.6,0.2,1.7,1.8,1.6,0.46,0.08,0.9,0.5,1.7,12.4,2.0,4.0,0.495,0.2,0.6,0.33299999999999996,0.4,0.9,0.43,1.8,3.4,0.524,1.1340000000000001,0.52
BOS,Leandro Barbosa,SG,41,2,12.5,5.2,0.2,0.9,1.1,1.4,0.41,0.15,0.5,1.2,2.8,13.6,2.0,4.7,0.43,0.4,1.1,0.38299999999999995,0.8,1.0,0.76,1.6,3.6,0.445,1.114,0.48
BOS,Jared Sullinger,PF,45,5,19.8,6.0,2.0,3.8,5.9,0.8,0.49,0.49,0.6,3.4,1.2,13.5,2.5,5.0,0.493,0.0,0.1,0.2,1.0,1.4,0.75,2.5,4.9,0.5,1.2,0.5
BOS,Jeff Green,SF,81,17,27.8,12.8,0.7,3.2,3.9,1.6,0.69,0.84,1.6,2.2,1.0,15.0,4.6,10.0,0.466,0.9,2.2,0.385,2.6,3.3,0.81,3.7,7.8,0.49,1.285,0.51
BOS,Darko Milicic,C,1,0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,-30.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BOS,Kris Joseph,SF,6,0,4.0,1.2,0.2,0.7,0.8,0.2,0.0,0.0,0.3,0.3,0.5,-3.2,0.3,1.8,0.182,0.0,0.3,0.0,0.5,0.7,0.75,0.3,1.5,0.222,0.636,0.18
BOS,Jason Collins,C,32,7,10.3,1.2,0.7,1.0,1.6,0.2,0.31,0.19,0.5,2.3,0.4,3.0,0.3,0.7,0.348,0.0,0.0,0.0,0.7,0.9,0.7,0.3,0.7,0.348,1.609,0.35
BOS,Rajon Rondo,PG,38,38,37.4,13.7,1.1,4.4,5.6,11.1,1.84,0.24,3.9,2.5,2.8,18.1,5.9,12.2,0.484,0.3,1.3,0.24,1.6,2.4,0.65,5.6,10.9,0.513,1.123,0.5
BOS,Paul Pierce,SF,77,77,33.4,18.6,0.6,5.7,6.3,4.8,1.09,0.39,2.8,2.7,1.7,19.1,6.2,14.2,0.436,1.9,5.0,0.38,4.3,5.5,0.79,4.3,9.2,0.466,1.31,0.5
BOS,Kevin Garnett,PF,68,68,29.7,14.8,1.1,6.7,7.8,2.3,1.15,0.91,1.6,2.3,1.4,19.2,6.2,12.5,0.496,0.0,0.2,0.125,2.3,3.0,0.79,6.2,12.3,0.504,1.181,0.5
BOS,Jordan Crawford,SG,27,2,21.6,9.1,0.5,2.3,2.7,2.5,0.44,0.07,1.6,1.7,1.5,12.0,3.3,8.0,0.415,0.9,2.8,0.32,1.6,2.0,0.79,2.4,5.2,0.465,1.1340000000000001,0.47
BOS,D.J. White,PF,12,0,7.2,2.4,0.3,0.8,1.1,0.3,0.08,0.5,0.2,0.4,2.0,14.8,1.0,1.9,0.522,0.0,0.0,0.0,0.4,0.8,0.56,1.0,1.9,0.522,1.261,0.52
BOS,Jason Terry,SG,79,24,26.9,10.1,0.2,1.8,2.0,2.5,0.84,0.14,1.3,1.4,1.9,12.8,3.6,8.2,0.434,1.6,4.2,0.37200000000000005,1.4,1.7,0.87,2.0,4.0,0.498,1.2329999999999999,0.53
BOS,Courtney Lee,SG,78,39,24.9,7.8,0.4,2.0,2.4,1.8,1.14,0.27,1.1,1.8,1.7,11.7,3.2,6.8,0.46399999999999997,0.7,2.0,0.37200000000000005,0.8,0.9,0.86,2.5,4.8,0.503,1.155,0.52
BOS,Shavlik Randolph,PF,16,0,12.4,4.2,1.8,2.6,4.4,0.3,0.5,0.44,0.6,2.4,0.4,15.9,1.8,3.0,0.583,0.0,0.0,0.0,0.7,1.7,0.41,1.8,3.0,0.583,1.396,0.58
BOS,Chris Wilcox,PF,61,7,13.6,4.2,0.9,2.0,3.0,0.4,0.52,0.46,0.6,2.0,0.6,15.3,1.8,2.5,0.7190000000000001,0.0,0.0,0.0,0.6,1.0,0.67,1.8,2.5,0.7240000000000001,1.693,0.72
BOS,Avery Bradley,PG,50,50,28.7,9.2,0.6,1.6,2.2,2.1,1.28,0.38,1.4,2.6,1.4,8.9,3.8,9.6,0.402,0.8,2.5,0.317,0.7,1.0,0.76,3.0,7.1,0.43200000000000005,0.9640000000000001,0.44
BOS,Brandon Bass,PF,81,69,27.6,8.7,1.6,3.7,5.2,1.0,0.54,0.79,1.0,2.3,1.1,12.4,3.5,7.3,0.486,0.0,0.0,0.0,1.6,1.9,0.86,3.5,7.3,0.48700000000000004,1.19,0.49
BOS,Jarvis Varnado,PF,5,0,3.6,1.2,0.2,0.4,0.6,0.2,0.2,0.0,0.2,0.2,1.0,12.8,0.4,0.8,0.5,0.0,0.0,0.0,0.4,0.8,0.5,0.4,0.8,0.5,1.5,0.5
BKN,Kris Humphries,PF,65,21,18.3,5.8,1.9,3.7,5.6,0.5,0.25,0.51,0.9,2.0,0.6,13.7,2.1,4.8,0.44799999999999995,0.0,0.0,0.0,1.5,1.9,0.79,2.1,4.8,0.451,1.21,0.45
BKN,Deron Williams,PG,78,78,36.4,18.9,0.4,2.6,3.0,7.7,0.96,0.38,2.8,2.5,2.8,20.4,6.3,14.4,0.44,2.2,5.7,0.37799999999999995,4.1,4.7,0.86,4.1,8.7,0.48200000000000004,1.3130000000000002,0.52
BKN,Tyshawn Taylor,PG,38,0,5.8,2.2,0.1,0.4,0.5,0.6,0.34,0.0,0.7,0.7,0.8,6.3,0.8,2.3,0.368,0.2,0.3,0.462,0.4,0.7,0.56,0.6,2.0,0.35100000000000003,0.977,0.4
BKN,Joe Johnson,SF,72,72,36.7,16.3,0.7,2.3,3.0,3.5,0.68,0.19,1.7,1.4,2.1,14.1,6.2,14.6,0.423,2.1,5.5,0.375,1.8,2.2,0.82,4.1,9.1,0.452,1.112,0.49
BKN,Tornike Shengelia,SF,19,0,4.9,1.6,0.5,0.7,1.2,0.2,0.16,0.05,0.6,0.6,0.3,8.5,0.5,1.2,0.435,0.1,0.1,0.5,0.5,0.8,0.56,0.4,1.1,0.429,1.304,0.46
BKN,C.J. Watson,PG,80,8,19.0,6.8,0.5,1.3,1.8,2.0,0.83,0.15,0.9,1.5,2.3,13.9,2.4,5.7,0.418,1.1,2.7,0.41100000000000003,0.9,1.1,0.78,1.3,3.0,0.424,1.183,0.51
BKN,Andray Blatche,C,82,8,19.0,10.3,2.0,3.1,5.1,1.0,1.05,0.66,1.5,2.0,0.7,22.0,4.2,8.2,0.512,0.0,0.3,0.136,1.8,2.6,0.69,4.2,7.9,0.524,1.247,0.51
BKN,Kris Joseph,SF,4,0,7.5,0.5,0.0,0.5,0.5,0.0,0.75,0.0,0.0,0.3,0.0,3.7,0.0,0.8,0.0,0.0,0.3,0.0,0.5,1.0,0.5,0.0,0.5,0.0,0.667,0.0
BKN,Josh Childress,SF,14,0,7.1,1.0,0.4,0.6,1.1,0.4,0.14,0.14,0.0,0.2,0.0,7.0,0.4,1.5,0.28600000000000003,0.1,0.2,0.33299999999999996,0.1,0.1,0.5,0.3,1.3,0.278,0.667,0.31
BKN,Damion James,SF,2,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKN,Jerry Stackhouse,SF,37,0,14.7,4.9,0.1,0.8,0.9,0.9,0.19,0.11,0.6,0.8,1.5,8.6,1.8,4.6,0.384,0.8,2.4,0.337,0.5,0.6,0.87,1.0,2.2,0.434,1.058,0.47
BKN,Mirza Teletovic,PF,53,0,9.4,3.5,0.6,1.2,1.8,0.4,0.25,0.15,0.4,1.0,1.2,12.4,1.3,3.5,0.384,0.7,2.0,0.34299999999999997,0.2,0.2,0.82,0.6,1.5,0.442,1.016,0.48
BKN,Reggie Evans,PF,80,56,24.6,4.5,3.3,7.9,11.1,0.5,0.93,0.16,1.4,2.5,0.4,12.8,1.6,3.3,0.479,0.0,0.0,0.0,1.4,2.8,0.51,1.6,3.3,0.479,1.391,0.48
BKN,Gerald Wallace,SF,69,68,30.1,7.7,1.0,3.6,4.6,2.6,1.41,0.67,1.6,1.7,1.6,11.6,2.6,6.6,0.397,0.7,2.4,0.282,1.8,2.8,0.64,1.9,4.2,0.461,1.159,0.45
BKN,Keith Bogans,SG,74,23,19.0,4.2,0.2,1.4,1.6,1.0,0.38,0.05,0.7,1.5,1.6,6.7,1.5,3.8,0.38,1.1,3.3,0.34299999999999997,0.1,0.2,0.65,0.4,0.5,0.615,1.095,0.53
BKN,MarShon Brooks,SG,73,2,12.5,5.4,0.4,1.0,1.4,1.0,0.47,0.22,0.9,1.3,1.1,13.5,2.1,4.6,0.46299999999999997,0.2,0.8,0.273,0.9,1.3,0.73,1.9,3.8,0.5,1.176,0.49
