RK,PLAYER,POS,TEAM,SALARY
1,Kevin Garnett,PF,Minnesota Timberwolves,25200000
2,Shaquille O'Neal,C,Los Angeles Lakers,23571000
3,Shawn Kemp,C,Orlando Magic,21500000
4,Juwan Howard,PF,Denver Nuggets,20625000
5,Scottie Pippen,SF,Portland Trail Blazers,19727000
6,Karl Malone,PF,Utah Jazz,19250000
7,Rasheed Wallace,PF,Portland Trail Blazers,16200000
8,Dikembe Mutombo,C,New Jersey Nets,16105000
9,Chris Webber,C,Sacramento Kings,14343000
10,Damon Stoudamire,PG,Portland Trail Blazers,13500000
11,Gary Payton,PG,Seattle SuperSonics,13080000
12,Ray Allen,SG,Seattle SuperSonics,12375000
13,Latrell Sprewell,SG,New York Knicks,12375000
14,Antoine Walker,PF,Boston Celtics,12375000
15,Stephon Marbury,PG,Phoenix Suns,12375000
16,Tracy McGrady,SG,Orlando Magic,12072000
17,Tim Duncan,PF,San Antonio Spurs,12072000
18,Grant Hill,SF,Orlando Magic,12072000
19,Reggie Miller,SG,Indiana Pacers,12046000
20,Antonio Davis,PF,Toronto Raptors,12000000
21,Michael Finley,SG,Dallas Mavericks,11953000
22,Vlade Divac,C,Sacramento Kings,11248000
23,Eddie Jones,SG,Miami Heat,11200000
24,Brian Grant,PF,Miami Heat,11121000
25,Allan Houston,SG,New York Knicks,11000000
26,Tom Gugliotta,PF,Phoenix Suns,10890000
27,Tim Thomas,PF,Milwaukee Bucks,10750000
28,Vince Carter,SG,Toronto Raptors,10625000
29,David Robinson,C,San Antonio Spurs,10500000
30,Nick Van Exel,PG,Dallas Mavericks,10003000
31,Steve Smith,SG,San Antonio Spurs,9900000
32,Glenn Robinson,SF,Atlanta Hawks,9860000
33,Derrick Coleman,PF,Philadelphia 76ers,9830000
34,Theo Ratliff,C,Atlanta Hawks,9375000
35,Jason Kidd,PG,New Jersey Nets,9260000
36,Glen Rice,SF,Houston Rockets,9200000
37,Kenny Anderson,PG,Seattle SuperSonics,9185000
38,John Stockton,G,Utah Jazz,9000000
39,Kerry Kittles,SG,New Jersey Nets,8717000
40,Clifford Robinson,PF,Detroit Pistons,8421000
41,Toni Kukoc,SF,Milwaukee Bucks,8050000
42,Dale Davis,PF,Portland Trail Blazers,8000000
43,Elden Campbell,C,Seattle SuperSonics,7975000
44,Greg Ostertag,C,Utah Jazz,7799000
45,Jamal Mashburn,SF,New Orleans Hornets,7750000
46,Maurice Taylor,PF,Houston Rockets,7150000
47,Derek Anderson,SG,Portland Trail Blazers,7145000
48,Donyell Marshall,PF,Chicago Bulls,7140000
49,Alan Henderson,PF,Atlanta Hawks,7091000
50,P.J. Brown,PF,New Orleans Hornets,7044000
51,Wesley Person,SF,Memphis Grizzlies,7000000
52,Austin Croshere,PF,Indiana Pacers,6960000
53,Jermaine O'Neal,C,Indiana Pacers,6950000
54,Erick Dampier,C,Golden State Warriors,6858000
55,Marcus Camby,C,Denver Nuggets,6750000
56,Kelvin Cato,C,Houston Rockets,6696000
57,Ron Mercer,SG,Indiana Pacers,6618000
58,Tyrone Hill,PF,Philadelphia 76ers,6600000
59,Bo Outlaw,PF,Phoenix Suns,6555000
60,Shandon Anderson,SF,New York Knicks,6100000
61,Michael Olowokandi,C,Los Angeles Clippers,6061000
62,Lorenzen Wright,PF,Memphis Grizzlies,6050000
63,Jerry Stackhouse,SF,Washington Wizards,6000000
64,Chris Mills,SF,Golden State Warriors,6000000
65,Steve Nash,PG,Dallas Mavericks,5750000
66,Charlie Ward,PG,New York Knicks,5750000
