TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
ORL,DeShawn Stevenson,SG,82,82,32.3,11.0,0.7,2.2,2.9,2.0,0.71,0.21,1.5,2.2,1.3,10.9,4.4,9.5,0.46,0.0,0.2,0.133,2.2,3.0,0.74,4.4,9.3,0.466,1.1520000000000001,0.46
ORL,Carlos Arroyo,PG,27,0,22.0,10.8,0.3,1.9,2.2,2.9,0.7,0.04,1.4,1.6,2.0,15.7,4.1,8.2,0.502,0.2,0.5,0.35700000000000004,2.4,2.9,0.81,3.9,7.7,0.512,1.317,0.51
ORL,Jameer Nelson,PG,62,33,28.8,14.6,0.6,2.3,2.9,4.9,1.13,0.15,2.4,2.8,2.0,19.5,5.6,11.6,0.483,1.1,2.7,0.424,2.3,2.9,0.78,4.5,8.9,0.5,1.2590000000000001,0.53
ORL,Grant Hill,SF,21,17,29.2,15.1,0.7,3.1,3.8,2.3,1.14,0.29,1.7,2.4,1.4,19.1,5.7,11.6,0.49,0.1,0.4,0.25,3.7,4.9,0.76,5.6,11.2,0.498,1.3090000000000002,0.49
ORL,Hedo Turkoglu,SF,78,59,33.5,14.9,0.9,3.4,4.3,2.8,0.9,0.27,1.7,3.0,1.7,16.8,5.1,11.2,0.45399999999999996,1.5,3.6,0.40299999999999997,3.3,3.8,0.86,3.6,7.6,0.478,1.328,0.52
WSH,Chucky Atkins,PG,28,2,19.7,6.7,0.4,1.2,1.6,2.5,0.5,0.0,1.1,2.1,2.3,13.0,2.4,6.2,0.379,1.2,3.3,0.359,0.8,1.1,0.71,1.2,2.9,0.402,1.075,0.47
WSH,Jarvis Hayes,SF,21,13,24.6,9.3,0.9,2.7,3.6,1.3,0.76,0.05,1.0,1.8,1.2,12.2,3.7,8.7,0.42100000000000004,0.8,2.2,0.36200000000000004,1.2,1.4,0.83,2.9,6.5,0.441,1.071,0.47
WSH,Michael Ruffin,PF,76,4,13.3,1.4,1.6,2.0,3.6,0.4,0.43,0.41,0.5,2.4,0.7,8.1,0.4,1.0,0.442,0.0,0.0,0.0,0.5,1.0,0.5,0.4,1.0,0.45299999999999996,1.364,0.44
WSH,Antonio Daniels,PG,80,17,28.5,9.6,0.2,1.9,2.2,3.6,0.65,0.1,1.1,1.2,3.2,13.8,2.9,6.9,0.418,0.3,1.3,0.228,3.6,4.2,0.85,2.6,5.6,0.461,1.395,0.44
WSH,Caron Butler,SF,75,54,36.1,17.6,1.5,4.7,6.2,2.5,1.69,0.24,2.3,3.2,1.1,17.1,6.6,14.5,0.455,0.5,1.6,0.342,3.9,4.4,0.87,6.1,12.9,0.469,1.214,0.47
WSH,Awvee Storey,SF,25,1,4.6,1.7,0.3,0.6,0.9,0.2,0.12,0.04,0.2,0.9,0.8,9.1,0.6,1.6,0.39,0.1,0.3,0.429,0.3,0.6,0.57,0.5,1.3,0.382,1.0490000000000002,0.43
WSH,Gilbert Arenas,PG,80,80,42.3,29.3,0.7,2.8,3.5,6.1,2.01,0.31,3.7,3.6,1.6,23.9,9.3,20.9,0.447,2.5,6.8,0.369,8.2,10.0,0.82,6.8,14.1,0.485,1.406,0.51
WSH,Etan Thomas,C,71,9,15.8,4.7,1.4,2.5,3.9,0.2,0.28,0.96,0.7,2.1,0.3,13.7,1.8,3.5,0.5329999999999999,0.0,0.0,0.0,1.1,1.8,0.6,1.8,3.5,0.5329999999999999,1.37,0.53
WSH,Calvin Booth,C,33,2,7.6,1.4,0.6,1.0,1.6,0.4,0.27,0.27,0.2,1.3,1.5,8.9,0.6,1.4,0.426,0.0,0.1,0.5,0.2,0.3,0.56,0.6,1.3,0.42200000000000004,0.9790000000000001,0.44
WSH,Brendan Haywood,C,79,70,23.8,7.3,2.5,3.4,5.9,0.6,0.38,1.32,1.2,2.9,0.5,13.8,2.8,5.5,0.514,0.0,0.0,0.0,1.7,2.8,0.58,2.8,5.5,0.514,1.331,0.51
WSH,Billy Thomas,SG,17,0,7.7,2.2,0.3,0.5,0.8,0.5,0.59,0.06,0.4,1.1,1.5,9.8,0.8,2.4,0.325,0.6,1.8,0.33299999999999996,0.1,0.1,1.0,0.2,0.6,0.3,0.95,0.45
WSH,Jared Jeffries,PF,77,77,25.3,6.4,2.1,2.8,4.9,1.9,0.75,0.65,1.3,2.9,1.5,11.6,2.4,5.4,0.451,0.2,0.6,0.32,1.3,2.2,0.59,2.2,4.8,0.46799999999999997,1.178,0.47
WSH,Antawn Jamison,PF,82,80,40.1,20.5,2.0,7.3,9.3,1.9,1.1,0.15,1.7,2.3,1.2,17.8,8.0,18.2,0.442,1.8,4.5,0.39399999999999996,2.6,3.6,0.73,6.2,13.7,0.45799999999999996,1.127,0.49
WSH,Andray Blatche,C,29,0,6.0,2.2,0.4,0.9,1.3,0.3,0.17,0.24,0.4,1.2,0.8,10.0,0.9,2.3,0.38799999999999996,0.1,0.4,0.231,0.3,0.4,0.83,0.8,1.9,0.426,0.97,0.41
WSH,Donell Taylor,PG,51,1,9.1,2.7,0.3,0.7,1.0,0.9,0.59,0.08,0.7,0.9,1.3,10.2,1.0,2.7,0.39,0.1,0.3,0.235,0.6,0.8,0.7,0.9,2.4,0.41200000000000003,1.0290000000000001,0.4
DEN,Earl Boykins,PG,60,0,25.7,12.6,0.4,1.0,1.4,3.8,0.8,0.07,1.4,1.2,2.8,15.7,4.5,11.0,0.41,1.0,3.0,0.34600000000000003,2.5,2.9,0.87,3.5,8.0,0.434,1.1440000000000001,0.46
DEN,Nene Hilario,PF,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-54.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DEN,DerMarr Johnson,SF,58,21,15.9,6.1,0.3,1.3,1.7,0.9,0.43,0.45,0.8,1.5,1.2,11.8,2.3,5.3,0.431,1.0,2.8,0.35,0.6,0.7,0.81,1.3,2.5,0.521,1.157,0.52
DEN,Reggie Evans,PF,26,2,23.3,5.2,2.2,6.5,8.7,0.6,0.62,0.19,1.7,2.7,0.3,12.6,1.7,3.7,0.45299999999999996,0.0,0.0,0.0,1.9,3.7,0.51,1.7,3.7,0.45299999999999996,1.421,0.45
DEN,Greg Buckner,SG,73,27,24.1,6.7,0.4,2.4,2.9,1.7,1.19,0.27,0.7,2.5,2.4,11.4,2.5,5.7,0.434,1.2,3.3,0.354,0.6,0.8,0.78,1.3,2.4,0.546,1.177,0.54
DEN,Eduardo Najera,PF,64,3,22.6,5.4,2.0,3.1,5.1,0.8,0.83,0.53,0.8,2.6,1.0,11.0,2.0,4.7,0.42200000000000004,0.1,0.2,0.33299999999999996,1.4,1.8,0.78,1.9,4.5,0.426,1.153,0.43
DEN,Carmelo Anthony,SF,80,80,36.8,26.5,1.5,3.4,4.9,2.7,1.1,0.53,2.7,2.9,1.0,22.1,9.5,19.7,0.48100000000000004,0.5,1.9,0.243,7.2,8.9,0.81,9.0,17.8,0.506,1.35,0.49
DEN,Earl Watson,PG,46,10,21.2,7.5,0.4,1.5,1.9,3.5,0.8,0.15,1.6,2.1,2.1,14.6,2.6,6.1,0.429,1.5,3.7,0.395,0.8,1.3,0.63,1.1,2.4,0.48200000000000004,1.23,0.55
DEN,Kenyon Martin,PF,56,49,27.6,12.9,1.7,4.6,6.3,1.4,0.77,0.93,1.3,3.1,1.1,16.7,5.3,10.7,0.495,0.1,0.4,0.22699999999999998,2.2,3.0,0.71,5.2,10.3,0.505,1.2,0.5
DEN,Voshon Lenard,SG,12,6,19.8,8.3,0.2,2.2,2.3,1.5,0.67,0.17,0.9,1.8,1.6,11.0,3.5,8.6,0.408,0.8,2.9,0.28600000000000003,0.4,1.1,0.38,2.7,5.7,0.47100000000000003,0.961,0.46
DEN,Bryon Russell,SF,1,0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,Ruben Patterson,PF,26,20,28.3,13.2,1.7,1.7,3.5,2.6,1.31,0.35,2.6,2.7,1.0,16.4,5.3,9.8,0.5429999999999999,0.0,0.2,0.16699999999999998,2.5,4.3,0.58,5.3,9.6,0.552,1.344,0.54
DEN,Linas Kleiza,SF,61,2,8.5,3.5,0.6,1.3,1.9,0.2,0.16,0.21,0.3,1.4,0.9,13.2,1.3,2.8,0.445,0.0,0.2,0.154,0.9,1.3,0.7,1.3,2.6,0.469,1.2309999999999999,0.45
DEN,Marcus Camby,C,56,54,33.2,12.8,2.4,9.6,11.9,2.1,1.41,3.29,1.6,2.8,1.3,20.0,5.4,11.6,0.465,0.0,0.2,0.091,2.0,2.8,0.71,5.4,11.4,0.47200000000000003,1.103,0.47
DEN,Andre Miller,PG,82,82,35.8,13.7,1.1,3.2,4.3,8.2,1.29,0.22,3.1,2.6,2.6,16.4,4.9,10.6,0.46299999999999997,0.1,0.3,0.185,3.8,5.2,0.74,4.8,10.3,0.47200000000000003,1.291,0.47
