RK,PLAYER,POS,TEAM,SALARY
1,Kevin Garnett,PF,Boston Celtics,24751934
2,Jason Kidd,PG,Dallas Mavericks,21372000
3,Jermaine O'Neal,C,Toronto Raptors,21372000
4,Kobe Bryant,SG,Los Angeles Lakers,21262500
5,Shaquille O'Neal,C,Phoenix Suns,21000000
6,Allen Iverson,SG,Detroit Pistons,20840625
7,Stephon Marbury,PG,Boston Celtics,20840625
8,Tim Duncan,PF,San Antonio Spurs,20598704
9,Tracy McGrady,SG,Houston Rockets,20370437
10,Ray Allen,SG,Boston Celtics,18388430
11,Dirk Nowitzki,PF,Dallas Mavericks,18077904
12,Paul Pierce,SF,Boston Celtics,18077903
13,Shawn Marion,SF,Toronto Raptors,17810000
14,Rashard Lewis,PF,Orlando Magic,16447871
15,Michael Redd,SG,Milwaukee Bucks,15780000
16,Andrei Kirilenko,SF,Utah Jazz,15106000
17,Pau Gasol,PF,Los Angeles Lakers,15106000
18,Amar'e Stoudemire,PF,Phoenix Suns,15070550
19,Yao Ming,C,Houston Rockets,15070550
20,Mike Bibby,PG,Atlanta Hawks,14983603
21,Vince Carter,SG,New Jersey Nets,14724125
22,Zach Randolph,PF,New York Knicks,14666667
23,Gilbert Arenas,PG,Washington Wizards,14653466
24,Ben Wallace,PF,Cleveland Cavaliers,14500000
25,Kenyon Martin,PF,Denver Nuggets,14431816
26,Carmelo Anthony,SF,Denver Nuggets,14410581
27,Dwyane Wade,SG,Miami Heat,14410581
28,Chris Bosh,C,Toronto Raptors,14410581
29,LeBron James,SF,Cleveland Cavaliers,14410581
30,Joe Johnson,SF,Atlanta Hawks,14232567
31,Lamar Odom,PF,Los Angeles Lakers,14148596
32,Rasheed Wallace,PF,Detroit Pistons,13930000
33,Wally Szczerbiak,SG,Cleveland Cavaliers,13775000
34,Dwight Howard,C,Orlando Magic,13758000
35,Elton Brand,PF,Philadelphia 76ers,13757844
36,Richard Jefferson,SF,Milwaukee Bucks,13200000
37,Larry Hughes,SG,New York Knicks,12827676
38,Raef LaFrentz,C,Portland Trail Blazers,12722500
39,Peja Stojakovic,SF,New Orleans Hornets,12528000
40,Steve Nash,PG,Phoenix Suns,12250000
41,Jason Richardson,SG,Charlotte Bobcats,12222221
42,Carlos Boozer,PF,Utah Jazz,11593817
43,Erick Dampier,C,Dallas Mavericks,11553000
44,Tony Parker,PG,San Antonio Spurs,11550000
45,Brad Miller,C,Sacramento Kings,11375000
46,Tyson Chandler,C,New Orleans Hornets,11350000
47,Andre Iguodala,SG,Philadelphia 76ers,11300000
48,Baron Davis,PG,Los Angeles Clippers,11250000
49,Samuel Dalembert,C,Philadelphia 76ers,11238564
50,Chauncey Billups,PG,Detroit Pistons,11050000
51,Al Jefferson,C,Minnesota Timberwolves,11000000
52,Monta Ellis,SG,Golden State Warriors,11000000
53,Zydrunas Ilgauskas,C,Cleveland Cavaliers,10841615
54,Richard Hamilton,SG,Detroit Pistons,10812500
55,Bobby Simmons,SF,New Jersey Nets,10602667
56,Andre Miller,PG,Philadelphia 76ers,10333334
57,Troy Murphy,PF,Indiana Pacers,10126984
58,Marcus Camby,C,Los Angeles Clippers,10000000
59,Kirk Hinrich,SG,Chicago Bulls,10000000
60,Josh Howard,SF,Dallas Mavericks,9945000
61,Antawn Jamison,PF,Washington Wizards,9923285
62,Manu Ginobili,SG,San Antonio Spurs,9905248
63,David West,PF,New Orleans Hornets,9862500
64,Eddy Curry,C,New York Knicks,9723983
65,Nene Hilario,PF,Denver Nuggets,9680000
66,Emeka Okafor,C,Charlotte Bobcats,9537500
67,Tayshaun Prince,SF,Detroit Pistons,9500000
68,Gerald Wallace,SF,Charlotte Bobcats,9500000
69,Luol Deng,SF,Chicago Bulls,9385000
70,Caron Butler,SF,Washington Wizards,9249980
71,Al Harrington,PF,New York Knicks,9226250
72,Jason Terry,SG,Dallas Mavericks,9196000
73,Antoine Walker,PF,Minnesota Timberwolves,9052460
74,Mike Miller,SF,Minnesota Timberwolves,9028575
75,Andris Biedrins,C,Golden State Warriors,9000000
76,Mike Dunleavy,SF,Indiana Pacers,9000000
77,Cuttino Mobley,SG,Los Angeles Clippers,8925000
78,Kevin Martin,SG,Sacramento Kings,8760335
79,Quentin Richardson,SF,New York Knicks,8685500
80,Jamal Crawford,SG,New York Knicks,8640000
81,Kenny Thomas,PF,Sacramento Kings,8562500
82,Mark Blount,C,Miami Heat,8513916
83,Mehmet Okur,C,Utah Jazz,8500000
84,Rasho Nesterovic,C,Indiana Pacers,8400000
85,Mo Williams,PG,Cleveland Cavaliers,8353000
86,Corey Maggette,SF,Golden State Warriors,8275862
87,Andres Nocioni,SF,Sacramento Kings,8000000
88,T.J. Ford,PG,Indiana Pacers,8000000
89,Devin Harris,PG,New Jersey Nets,7800000
90,Jameer Nelson,PG,Orlando Magic,7700000
91,Malik Rose,PF,Oklahoma City Thunder,7647500
92,Jose Calderon,PG,Toronto Raptors,7438018
93,Metta World Peace,SF,Houston Rockets,7400000
94,Eric Snow,PG,Cleveland Cavaliers,7312500
