TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Keyon Dooling,PG,46,2,14.4,4.0,0.1,0.8,0.8,1.1,0.28,0.04,0.7,1.2,1.5,6.9,1.4,3.5,0.405,0.6,1.8,0.33299999999999996,0.5,0.7,0.74,0.8,1.7,0.47600000000000003,1.117,0.49
BOS,Marquis Daniels,SG,38,0,12.7,3.2,0.4,1.3,1.7,1.2,0.55,0.24,0.7,0.9,1.7,8.1,1.4,3.8,0.364,0.0,0.3,0.0,0.4,0.6,0.74,1.4,3.5,0.391,0.846,0.36
BOS,E'Twaun Moore,SG,38,0,8.7,2.9,0.1,0.8,0.9,0.9,0.29,0.08,0.6,0.9,1.6,8.9,1.1,3.0,0.381,0.4,1.2,0.37799999999999995,0.2,0.2,1.0,0.7,1.8,0.382,0.973,0.46
BOS,Mickael Pietrus,SF,42,6,21.9,6.9,0.4,2.7,3.1,0.6,0.5,0.24,0.8,1.9,0.8,8.6,2.5,6.4,0.385,1.5,4.3,0.335,0.5,0.7,0.65,1.0,2.1,0.489,1.07,0.5
BOS,JaJuan Johnson,PF,36,0,8.3,3.2,0.6,1.1,1.6,0.2,0.14,0.39,0.4,0.7,0.4,11.4,1.5,3.4,0.446,0.0,0.0,0.0,0.2,0.3,0.67,1.5,3.4,0.446,0.9420000000000001,0.45
BOS,Kevin Garnett,PF,60,60,31.1,15.8,1.1,7.1,8.2,2.9,0.93,1.02,1.8,2.4,1.6,20.5,6.5,13.0,0.503,0.1,0.2,0.33299999999999996,2.7,3.2,0.86,6.4,12.8,0.505,1.219,0.51
BOS,Paul Pierce,SF,61,61,34.0,19.4,0.6,4.6,5.2,4.5,1.15,0.43,2.8,2.4,1.6,19.7,6.5,14.6,0.44299999999999995,1.6,4.5,0.366,4.8,5.6,0.85,4.9,10.1,0.47600000000000003,1.327,0.5
BOS,Ray Allen,SG,46,42,34.0,14.2,0.3,2.8,3.1,2.4,1.07,0.17,1.5,1.8,1.6,14.8,4.9,10.7,0.45799999999999996,2.3,5.1,0.45299999999999996,2.1,2.3,0.92,2.6,5.6,0.46299999999999997,1.329,0.57
BOS,Rajon Rondo,PG,53,53,36.9,11.9,1.2,3.7,4.8,11.7,1.79,0.06,3.6,1.9,3.2,17.6,4.8,10.8,0.44799999999999995,0.2,0.8,0.23800000000000002,2.0,3.4,0.6,4.6,10.0,0.46399999999999997,1.101,0.46
BOS,Sean Williams,PF,3,0,14.0,3.7,1.3,2.7,4.0,1.0,1.0,1.0,1.0,1.3,1.0,18.6,0.7,2.0,0.33299999999999996,0.0,0.0,0.0,2.3,2.3,1.0,0.7,2.0,0.33299999999999996,1.8330000000000002,0.33
BOS,Chris Wilcox,PF,28,4,17.2,5.4,1.4,3.0,4.4,0.4,0.39,0.32,1.1,2.3,0.4,12.5,2.3,3.8,0.598,0.0,0.0,0.0,0.9,1.4,0.62,2.3,3.8,0.598,1.421,0.6
BOS,Avery Bradley,PG,64,28,21.4,7.6,0.5,1.3,1.8,1.4,0.67,0.19,1.2,1.7,1.2,11.3,3.1,6.3,0.498,0.3,0.8,0.40700000000000003,1.0,1.2,0.79,2.8,5.5,0.511,1.204,0.52
BOS,Sasha Pavlovic,SG,45,7,11.7,2.7,0.1,1.5,1.6,0.4,0.44,0.33,0.4,1.2,0.9,6.8,1.1,2.8,0.391,0.4,1.3,0.293,0.1,0.2,0.38,0.7,1.5,0.47100000000000003,0.938,0.46
BOS,Brandon Bass,PF,59,39,31.7,12.5,1.6,4.6,6.2,0.9,0.58,0.92,1.1,2.3,0.8,14.2,5.1,10.7,0.479,0.0,0.0,0.0,2.2,2.8,0.81,5.1,10.7,0.479,1.168,0.48
BOS,Jermaine O'Neal,C,25,24,22.8,5.0,1.5,3.9,5.4,0.4,0.32,1.72,0.8,3.2,0.5,9.5,2.1,4.8,0.433,0.0,0.0,0.0,0.8,1.2,0.68,2.1,4.8,0.433,1.042,0.43
BOS,Ryan Hollins,C,15,1,10.7,2.8,0.6,1.1,1.7,0.2,0.07,0.33,0.7,1.5,0.3,6.9,1.2,1.9,0.643,0.0,0.0,0.0,0.4,1.3,0.3,1.2,1.9,0.643,1.5,0.64
BOS,Greg Stiemsma,C,55,3,13.9,2.9,0.9,2.3,3.2,0.5,0.67,1.55,0.6,2.6,0.8,13.6,1.2,2.2,0.545,0.0,0.0,0.0,0.5,0.7,0.71,1.2,2.2,0.545,1.331,0.55
BKN,Kris Humphries,PF,62,62,34.9,13.8,3.8,7.2,11.0,1.5,0.81,1.19,1.9,2.8,0.8,18.0,5.2,10.8,0.48100000000000004,0.0,0.0,0.0,3.4,4.5,0.75,5.2,10.8,0.48100000000000004,1.274,0.48
BKN,Deron Williams,PG,55,55,36.3,21.0,0.4,2.9,3.3,8.7,1.22,0.36,4.0,2.2,2.2,20.3,7.1,17.5,0.40700000000000003,2.1,6.2,0.336,4.7,5.5,0.84,5.0,11.3,0.446,1.2009999999999998,0.47
BKN,Anthony Morrow,SG,62,18,26.4,12.0,0.5,1.5,2.0,1.0,0.74,0.15,1.1,1.4,0.9,13.1,4.4,10.6,0.413,1.7,4.6,0.371,1.6,1.7,0.93,2.7,6.0,0.446,1.135,0.49
BKN,Armon Johnson,PG,8,0,14.9,5.6,0.1,1.4,1.5,1.4,0.5,0.0,0.6,1.1,2.2,12.6,2.4,5.3,0.452,0.1,0.4,0.33299999999999996,0.8,0.8,1.0,2.3,4.9,0.462,1.071,0.46
BKN,DeShawn Stevenson,SG,51,30,18.8,2.9,0.1,1.8,2.0,0.8,0.37,0.08,0.4,1.2,2.2,4.3,1.0,3.4,0.285,0.8,2.8,0.28300000000000003,0.2,0.3,0.56,0.2,0.6,0.29600000000000004,0.86,0.4
BKN,Jerry Smith,PG,5,0,9.2,1.4,0.4,1.0,1.4,0.8,1.0,0.0,0.0,1.0,0.0,7.8,0.6,2.8,0.214,0.2,1.2,0.16699999999999998,0.0,0.0,0.0,0.4,1.6,0.25,0.5,0.25
BKN,Jordan Farmar,PG,39,5,21.3,10.4,0.2,1.4,1.6,3.3,0.62,0.05,1.7,1.3,1.9,17.5,3.8,8.1,0.467,1.4,3.2,0.44,1.5,1.6,0.9,2.4,4.9,0.484,1.2890000000000001,0.55
BKN,Shelden Williams,C,58,35,22.0,4.6,2.4,3.6,6.0,0.6,0.81,0.67,1.1,2.6,0.5,11.9,1.7,3.5,0.478,0.0,0.0,0.0,1.3,1.8,0.73,1.7,3.5,0.478,1.3330000000000002,0.48
BKN,MarShon Brooks,SG,56,47,29.4,12.6,1.3,2.3,3.6,2.3,0.93,0.27,2.1,2.1,1.1,13.0,4.9,11.4,0.428,0.8,2.7,0.313,2.0,2.6,0.76,4.1,8.7,0.46299999999999997,1.1059999999999999,0.46
BKN,Shawne Williams,SF,25,6,20.6,4.5,0.8,1.9,2.7,0.6,0.4,0.44,0.5,1.8,1.2,5.0,1.7,5.9,0.28600000000000003,0.8,3.5,0.24100000000000002,0.3,0.4,0.73,0.9,2.4,0.35,0.769,0.36
BKN,Johan Petro,C,59,10,15.6,4.2,1.2,2.6,3.8,0.8,0.36,0.39,0.6,2.1,1.2,10.3,1.8,4.4,0.419,0.0,0.0,1.0,0.5,0.6,0.84,1.8,4.4,0.41700000000000004,0.9620000000000001,0.42
BKN,Larry Owens,SF,7,0,10.7,1.9,0.3,1.6,1.9,0.6,0.0,0.14,0.3,1.4,2.0,5.9,0.6,1.6,0.364,0.3,0.7,0.4,0.4,0.6,0.75,0.3,0.9,0.33299999999999996,1.182,0.45
BKN,Andre Emmett,SG,6,0,7.5,2.2,0.3,0.7,1.0,0.2,0.33,0.17,0.3,0.3,0.5,13.3,0.7,1.2,0.5710000000000001,0.0,0.2,0.0,0.8,1.3,0.63,0.7,1.0,0.667,1.857,0.57
BKN,Sundiata Gaines,PG,57,12,13.9,5.1,0.5,1.4,1.9,2.2,0.96,0.04,0.9,1.0,2.4,15.1,1.8,4.8,0.376,0.5,1.4,0.341,1.0,1.7,0.61,1.3,3.4,0.392,1.074,0.43
BKN,Dennis Horner,PF,8,0,2.8,0.6,0.3,0.4,0.6,0.0,0.0,0.0,0.1,0.1,0.0,6.6,0.1,0.5,0.25,0.0,0.1,0.0,0.4,0.5,0.75,0.1,0.4,0.33299999999999996,1.25,0.25
BKN,Mehmet Okur,C,17,14,26.7,7.6,1.3,3.5,4.8,1.8,0.53,0.29,1.5,2.6,1.2,8.4,3.1,8.2,0.374,1.4,4.2,0.319,0.2,0.3,0.6,1.7,4.0,0.433,0.935,0.46
BKN,Jordan Williams,C,43,5,14.8,4.6,1.5,2.1,3.6,0.3,0.49,0.35,0.5,1.4,0.5,14.5,1.8,3.5,0.507,0.0,0.0,0.0,1.0,1.5,0.65,1.8,3.5,0.507,1.296,0.51
BKN,Gerald Green,SG,31,2,25.2,12.9,0.5,3.0,3.5,1.1,0.9,0.55,1.8,2.6,0.6,15.9,5.0,10.3,0.48100000000000004,1.4,3.5,0.391,1.6,2.1,0.75,3.6,6.8,0.529,1.25,0.55
BKN,Damion James,SF,7,7,24.3,4.9,1.0,3.7,4.7,0.4,1.0,1.0,1.7,2.4,0.3,6.2,1.9,5.0,0.371,0.0,0.1,0.0,1.1,1.7,0.67,1.9,4.9,0.382,0.971,0.37
BKN,Keith Bogans,SG,5,1,18.8,4.2,1.0,1.2,2.2,0.6,0.4,0.0,0.6,3.0,1.0,4.8,1.6,4.2,0.381,0.6,2.4,0.25,0.4,1.0,0.4,1.0,1.8,0.556,1.0,0.45
BKN,Gerald Wallace,SF,16,16,35.8,15.2,1.5,5.3,6.8,3.1,1.44,0.69,1.7,2.4,1.8,17.2,5.3,12.6,0.41600000000000004,1.3,3.3,0.385,3.4,4.0,0.86,4.0,9.3,0.42700000000000005,1.203,0.47
BKN,Brook Lopez,C,5,5,27.2,19.2,1.6,2.0,3.6,1.2,0.2,0.8,1.2,1.6,1.0,22.0,7.6,15.4,0.494,0.0,0.0,0.0,4.0,6.4,0.63,7.6,15.4,0.494,1.247,0.49
NY,Baron Davis,PG,29,14,20.5,6.1,0.4,1.5,1.9,4.7,1.17,0.1,2.6,2.1,1.8,10.1,2.3,6.3,0.37,0.9,2.9,0.306,0.6,0.8,0.67,1.4,3.4,0.424,0.9670000000000001,0.44
NY,Toney Douglas,PG,38,9,17.3,6.2,0.4,1.5,1.9,2.0,0.76,0.03,1.5,1.4,1.4,7.1,2.5,7.6,0.324,0.7,3.1,0.231,0.6,0.7,0.85,1.8,4.5,0.387,0.8170000000000001,0.37
NY,Jerome Jordan,C,21,0,5.1,2.0,0.7,0.6,1.3,0.2,0.05,0.29,0.1,0.7,2.0,18.3,0.8,1.6,0.515,0.0,0.0,0.0,0.4,0.5,0.8,0.8,1.6,0.515,1.273,0.52
