TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Shaquille O'Neal,C,37,36,20.3,9.2,1.3,3.5,4.8,0.7,0.43,1.14,1.5,3.2,0.5,17.4,3.6,5.4,0.667,0.0,0.0,0.0,2.0,3.5,0.56,3.6,5.4,0.667,1.6969999999999998,0.67
BOS,Sasha Pavlovic,SG,17,0,8.8,1.8,0.1,0.8,0.8,0.2,0.29,0.0,0.4,0.9,0.5,5.1,0.7,1.5,0.462,0.3,0.6,0.5,0.1,0.3,0.4,0.4,0.9,0.43799999999999994,1.192,0.56
BOS,Marquis Daniels,SG,49,0,19.1,5.5,0.5,1.8,2.3,1.3,0.8,0.45,0.8,1.3,1.7,11.8,2.3,4.7,0.491,0.1,0.4,0.19,0.8,1.2,0.68,2.2,4.3,0.521,1.168,0.5
BOS,Chris Johnson,C,4,0,8.0,1.5,0.3,1.0,1.3,0.3,0.0,0.75,0.5,0.8,0.5,9.9,0.5,0.8,0.667,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.8,0.667,2.0,0.67
BOS,Von Wafer,SG,58,2,9.5,3.2,0.1,0.7,0.8,0.6,0.31,0.09,0.3,0.7,1.8,10.6,1.2,2.7,0.42100000000000004,0.3,1.2,0.26899999999999996,0.6,0.7,0.84,0.9,1.5,0.5329999999999999,1.157,0.48
BOS,Semih Erden,C,37,7,14.4,4.1,0.8,2.1,2.9,0.5,0.35,0.57,0.9,2.5,0.6,10.8,1.6,2.6,0.598,0.0,0.0,0.0,0.9,1.5,0.63,1.6,2.6,0.598,1.546,0.6
BOS,Troy Murphy,PF,17,0,10.5,2.6,0.6,1.6,2.2,0.4,0.47,0.06,0.4,1.1,0.9,10.2,0.9,2.2,0.42100000000000004,0.1,0.6,0.1,0.6,0.8,0.85,0.8,1.6,0.536,1.158,0.43
BOS,Luke Harangody,PF,28,0,8.6,2.3,0.6,1.4,2.0,0.4,0.14,0.25,0.2,1.3,2.0,8.7,1.0,2.5,0.39399999999999996,0.1,0.4,0.2,0.2,0.3,0.63,0.9,2.1,0.426,0.887,0.41
BOS,Kevin Garnett,PF,71,71,31.3,14.9,1.2,7.7,8.9,2.4,1.34,0.8,1.6,2.1,1.5,20.7,6.1,11.6,0.528,0.0,0.1,0.2,2.6,3.1,0.86,6.1,11.5,0.53,1.285,0.53
BOS,Paul Pierce,SF,80,80,34.7,18.9,0.4,5.0,5.4,3.3,1.0,0.64,2.1,2.9,1.5,19.8,6.3,12.8,0.49700000000000005,1.4,3.7,0.374,4.8,5.6,0.86,4.9,9.1,0.547,1.48,0.55
