RK,PLAYER,POS,TEAM,SALARY
1,Kevin Garnett,PF,Minnesota Timberwolves,21000000
2,Shaquille O'Neal,C,Miami Heat,20000000
3,Jason Kidd,PG,New Jersey Nets,18084000
4,Jermaine O'Neal,C,Indiana Pacers,18084000
5,Kobe Bryant,SG,Los Angeles Lakers,17718750
6,Tim Duncan,PF,San Antonio Spurs,17429673
7,Allen Iverson,SG,Philadelphia 76ers,17184375
8,Stephon Marbury,PG,New York Knicks,17184375
9,Tracy McGrady,SG,Houston Rockets,16901500
10,Grant Hill,SF,Orlando Magic,16901500
11,Ben Wallace,PF,Chicago Bulls,16000000
12,Vince Carter,SG,New Jersey Nets,15101626
13,Antawn Jamison,PF,Washington Wizards,15101626
14,Dirk Nowitzki,PF,Dallas Mavericks,15101622
15,Steve Francis,PG,New York Knicks,15070000
16,Shawn Marion,SF,Phoenix Suns,15070000
17,Ray Allen,SG,Seattle SuperSonics,14611570
18,Elton Brand,PF,Los Angeles Clippers,14248000
19,Larry Hughes,SG,Cleveland Cavaliers,13363012
20,Michael Redd,SG,Milwaukee Bucks,13260000
21,Joe Johnson,SF,Atlanta Hawks,12744190
22,Mike Bibby,PG,Sacramento Kings,12500000
23,Amar'e Stoudemire,PF,Phoenix Suns,12455000
24,Yao Ming,C,Houston Rockets,12455000
25,Andrei Kirilenko,SF,Utah Jazz,12364000
26,Pau Gasol,PF,Memphis Grizzlies,12364000
27,Lamar Odom,PF,Los Angeles Lakers,12348596
28,Kenyon Martin,PF,Denver Nuggets,12068182
29,Zach Randolph,PF,Portland Trail Blazers,12000000
30,Wally Szczerbiak,SG,Boston Celtics,11775000
31,Theo Ratliff,C,Boston Celtics,11666666
32,Rasheed Wallace,PF,Detroit Pistons,11650000
33,Raef LaFrentz,C,Portland Trail Blazers,11532037
34,Carlos Boozer,PF,Utah Jazz,11260483
35,Richard Jefferson,SF,New Jersey Nets,11200000
36,Gilbert Arenas,PG,Washington Wizards,11096800
37,Peja Stojakovic,SF,NO/Oklahoma City Hornets,10800000
38,Steve Nash,PG,Phoenix Suns,10500000
39,Jason Richardson,SG,Golden State Warriors,9999999
40,Erick Dampier,C,Dallas Mavericks,9628000
41,Brad Miller,C,Sacramento Kings,9625000
42,Samuel Dalembert,C,Philadelphia 76ers,9464307
43,Tony Parker,PG,San Antonio Spurs,9450000
44,Zydrunas Ilgauskas,C,Cleveland Cavaliers,9442697
45,Rashard Lewis,PF,Seattle SuperSonics,9350649
46,Jerry Stackhouse,SF,Dallas Mavericks,9296874
47,Richard Hamilton,SG,Detroit Pistons,9187500
48,Tyson Chandler,C,NO/Oklahoma City Hornets,9150000
49,Andre Miller,PG,Philadelphia 76ers,8966666
50,Marcus Camby,C,Denver Nuggets,8800000
51,Bobby Simmons,SF,Milwaukee Bucks,8640000
52,P.J. Brown,PF,Chicago Bulls,8560000
53,Jamaal Magloire,C,Portland Trail Blazers,8433334
54,Kwame Brown,C,Los Angeles Lakers,8287500
55,Troy Murphy,PF,Indiana Pacers,8285714
56,Manu Ginobili,SG,San Antonio Spurs,8254374
57,Jason Williams,PG,Miami Heat,8250000
58,Mehmet Okur,C,Utah Jazz,8250000
59,Eddy Curry,C,New York Knicks,8171103
60,Cuttino Mobley,SG,Los Angeles Clippers,8125000
61,Adonal Foyle,C,Golden State Warriors,8125000
62,Doug Christie,SG,Los Angeles Clippers,8125000
63,Jason Terry,SG,Dallas Mavericks,8100000
64,Desmond Mason,SF,NO/Oklahoma City Hornets,8037036
65,Nene Hilario,PF,Denver Nuggets,8000000
66,Tayshaun Prince,SF,Detroit Pistons,7851240
67,Kurt Thomas,PF,Phoenix Suns,7821482
68,Darius Miles,SF,Portland Trail Blazers,7750000
69,Al Harrington,PF,Indiana Pacers,7625000
70,Mike Miller,SF,Memphis Grizzlies,7623813
71,Antoine Walker,PF,Miami Heat,7606820
72,Metta World Peace,SF,Sacramento Kings,7526316
73,Quentin Richardson,SF,New York Knicks,7525500
74,Malik Rose,PF,New York Knicks,7525397
75,Mike Dunleavy,SF,Indiana Pacers,7438016
76,Caron Butler,SF,Washington Wizards,7438000
77,Austin Croshere,PF,Dallas Mavericks,7300000
78,Mark Blount,C,Minnesota Timberwolves,7288165
79,Rasho Nesterovic,C,Toronto Raptors,7280000
80,Jamal Crawford,SG,New York Knicks,7200000
81,Kenny Thomas,PF,Sacramento Kings,7187500
82,Corey Maggette,SF,Los Angeles Clippers,7000000
