RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,24806250
2,Rashard Lewis,PF,Washington Wizards,19573711
3,Tim Duncan,PF,San Antonio Spurs,18835381
4,Kevin Garnett,PF,Boston Celtics,18832044
5,Michael Redd,SG,Milwaukee Bucks,18300000
6,Andrei Kirilenko,SF,Utah Jazz,17823000
7,Pau Gasol,PF,Los Angeles Lakers,17823000
8,Gilbert Arenas,PG,Washington Wizards,17730694
9,Yao Ming,C,Houston Rockets,17686100
10,Zach Randolph,PF,Memphis Grizzlies,17666666
11,Vince Carter,SG,Phoenix Suns,17522375
12,Dirk Nowitzki,PF,Dallas Mavericks,17278618
13,Carmelo Anthony,SF,New York Knicks,17149243
14,Dwight Howard,C,Orlando Magic,16647180
15,Kenyon Martin,PF,Denver Nuggets,16545454
16,Amar'e Stoudemire,PF,New York Knicks,16486611
17,Joe Johnson,SF,Atlanta Hawks,16324500
18,Elton Brand,PF,Philadelphia 76ers,15959099
19,Deron Williams,PG,Utah Jazz,14940153
20,Chris Paul,PG,New Orleans Hornets,14940153
21,Chris Bosh,C,Miami Heat,14500000
22,LeBron James,SF,Miami Heat,14500000
23,Jason Richardson,SG,Phoenix Suns,14444443
24,Carlos Boozer,PF,Chicago Bulls,14400000
25,Dwyane Wade,SG,Miami Heat,14200000
26,Baron Davis,PG,Los Angeles Clippers,14000000
27,Paul Pierce,SF,Boston Celtics,13876321
28,Andrew Bynum,C,Los Angeles Lakers,13700000
29,Rudy Gay,SF,Memphis Grizzlies,13603750
30,Brandon Roy,SG,Portland Trail Blazers,13603750
31,Tony Parker,PG,San Antonio Spurs,13500000
32,Samuel Dalembert,C,Sacramento Kings,13428129
33,Antawn Jamison,PF,Cleveland Cavaliers,13358905
34,Nick Collison,PF,Oklahoma City Thunder,13270000
35,Chauncey Billups,PG,New York Knicks,13150000
36,Al Jefferson,C,Utah Jazz,13000000
37,Tyson Chandler,C,Dallas Mavericks,12600000
38,Richard Hamilton,SG,Detroit Pistons,12500000
39,Andre Iguodala,SG,Philadelphia 76ers,12345250
40,Manu Ginobili,SG,San Antonio Spurs,11854584
41,Chris Kaman,C,Los Angeles Clippers,11800000
42,Marcus Camby,C,Portland Trail Blazers,11749832
43,Josh Smith,SF,Atlanta Hawks,11700000
44,Eddy Curry,C,Miami Heat,11530592
45,Emeka Okafor,C,New Orleans Hornets,11495000
46,Nene Hilario,PF,Denver Nuggets,11360000
47,Luol Deng,SF,Chicago Bulls,11345000
48,LaMarcus Aldridge,PF,Portland Trail Blazers,11244000
49,Tayshaun Prince,SF,Detroit Pistons,11148760
50,Andrew Bogut,C,Milwaukee Bucks,11000000
51,Monta Ellis,SG,Golden State Warriors,11000000
52,Danny Granger,SF,Indiana Pacers,10973202
53,Ben Gordon,SG,Detroit Pistons,10800000
54,David Lee,PF,Golden State Warriors,10800000
55,Kevin Martin,SG,Houston Rockets,10600005
56,Mike Dunleavy,SF,Indiana Pacers,10561984
57,Caron Butler,SF,Dallas Mavericks,10561960
58,Gerald Wallace,SF,Charlotte Bobcats,10500000
59,Steve Nash,PG,Phoenix Suns,10310938
60,Hedo Turkoglu,SF,Phoenix Suns,10215850
61,Ray Allen,SG,Boston Celtics,10000000
62,Mehmet Okur,C,Utah Jazz,9945000
63,Jason Terry,SG,Dallas Mavericks,9873000
64,Corey Maggette,SF,Milwaukee Bucks,9600000
65,Cuttino Mobley,SG,Los Angeles Clippers,9500000
66,Mo Williams,PG,Los Angeles Clippers,9300000
67,Kirk Hinrich,SG,Washington Wizards,9100000
68,Rajon Rondo,PG,Boston Celtics,9090911
69,Andris Biedrins,C,Golden State Warriors,9000000
70,Jose Calderon,PG,Toronto Raptors,9000000
71,Devin Harris,PG,Utah Jazz,8981000
72,Jason Kidd,PG,Dallas Mavericks,8610500
73,Andrea Bargnani,C,Toronto Raptors,8500000
74,T.J. Ford,PG,Indiana Pacers,8500000
75,Stephen Jackson,SF,Charlotte Bobcats,8453250
76,Richard Jefferson,SF,San Antonio Spurs,8400000
77,David West,PF,New Orleans Hornets,8287500
78,Lamar Odom,PF,Los Angeles Lakers,8200000
79,John Salmons,SF,Milwaukee Bucks,8000000
80,Mark Blount,C,Miami Heat,7967375
81,Jameer Nelson,PG,Orlando Magic,7800000
82,Luis Scola,PF,Houston Rockets,7775378
83,Joel Przybilla,C,Charlotte Bobcats,7725470
84,Paul Millsap,PF,Utah Jazz,7600000
85,Shane Battier,SF,Memphis Grizzlies,7354500
86,Anderson Varejao,C,Cleveland Cavaliers,7281818
87,Andre Miller,PG,Portland Trail Blazers,7269264
88,Marvin Williams,PF,Atlanta Hawks,7262500
89,J.J. Redick,SG,Orlando Magic,7250000
90,Dan Gadzuric,C,New Jersey Nets,7248325
91,James Posey,SF,Indiana Pacers,7148800
92,Marko Jaric,PG,Brooklyn Nets,7100000
93,Leandro Barbosa,SG,Toronto Raptors,7100000
94,Shawn Marion,SF,Dallas Mavericks,7055500
95,Charlie Villanueva,PF,Detroit Pistons,7020000
96,Travis Outlaw,SF,New Jersey Nets,7000000
97,Raymond Felton,PG,New York Knicks,7000000
98,Brendan Haywood,C,Dallas Mavericks,6900000
99,Vladimir Radmanovic,SF,Golden State Warriors,6883800
100,Nazr Mohammed,C,Charlotte Bobcats,6883800
101,Andres Nocioni,SF,Philadelphia 76ers,6850000
102,Greg Oden,C,Miami Heat,6760524
103,J.R. Smith,SG,Denver Nuggets,6757851
104,Kendrick Perkins,C,Oklahoma City Thunder,6696720
105,Morris Peterson,SG,Oklahoma City Thunder,6665000
106,Jeff Foster,PF,Indiana Pacers,6655000
