RK,PLAYER,POS,TEAM,SALARY
1,Kobe Bryant,SG,Los Angeles Lakers,23034375
2,Jermaine O'Neal,C,Miami Heat,23016000
3,Tracy McGrady,SG,New York Knicks,22843124
4,Tim Duncan,PF,San Antonio Spurs,22183220
5,Shaquille O'Neal,C,Cleveland Cavaliers,21000000
6,Dirk Nowitzki,PF,Dallas Mavericks,19795714
7,Paul Pierce,SF,Boston Celtics,19795712
8,Ray Allen,SG,Boston Celtics,18776860
9,Rashard Lewis,PF,Orlando Magic,18010791
10,Michael Redd,SG,Milwaukee Bucks,17040000
11,Andrei Kirilenko,SF,Utah Jazz,16452000
12,Pau Gasol,PF,Los Angeles Lakers,16452000
13,Kevin Garnett,PF,Boston Celtics,16417044
14,Amar'e Stoudemire,PF,Phoenix Suns,16378325
15,Yao Ming,C,Houston Rockets,16378325
16,Gilbert Arenas,PG,Washington Wizards,16192080
17,Vince Carter,SG,Orlando Magic,16123250
18,Zach Randolph,PF,Memphis Grizzlies,16000000
19,Kenyon Martin,PF,Denver Nuggets,15852511
20,Carmelo Anthony,SF,Denver Nuggets,15779912
21,Chris Bosh,C,Toronto Raptors,15779912
22,LeBron James,SF,Cleveland Cavaliers,15779912
23,Dwight Howard,C,Orlando Magic,15202590
24,Joe Johnson,SF,Atlanta Hawks,14976754
25,Elton Brand,PF,Philadelphia 76ers,14858472
26,Richard Jefferson,SF,San Antonio Spurs,14200000
27,Deron Williams,PG,Utah Jazz,13520500
28,Chris Paul,PG,New Orleans Hornets,13520500
29,Peja Stojakovic,SF,New Orleans Hornets,13392000
30,Jason Richardson,SG,Phoenix Suns,13333332
31,Steve Nash,PG,Phoenix Suns,13125000
32,Tony Parker,PG,San Antonio Spurs,12600000
33,Andrew Bynum,C,Los Angeles Lakers,12500000
34,Carlos Boozer,PF,Utah Jazz,12323900
35,Brad Miller,C,Chicago Bulls,12250000
36,Andre Iguodala,SG,Philadelphia 76ers,12200000
37,Erick Dampier,C,Dallas Mavericks,12115500
38,Baron Davis,PG,Los Angeles Clippers,12100000
39,Chauncey Billups,PG,Denver Nuggets,12100000
40,Samuel Dalembert,C,Philadelphia 76ers,12025694
41,Al Jefferson,C,Minnesota Timberwolves,12000000
42,Tyson Chandler,C,Charlotte Bobcats,11700000
43,Antawn Jamison,PF,Washington Wizards,11641095
44,Richard Hamilton,SG,Detroit Pistons,11375000
45,Bobby Simmons,SF,New Jersey Nets,11242666
46,Troy Murphy,PF,Indiana Pacers,11047619
47,Monta Ellis,SG,Golden State Warriors,11000000
48,Josh Howard,SF,Washington Wizards,10890000
49,Josh Smith,SF,Atlanta Hawks,10800000
50,Emeka Okafor,C,New Orleans Hornets,10797500
51,Manu Ginobili,SG,San Antonio Spurs,10728130
52,Nene Hilario,PF,Denver Nuggets,10520000
53,Eddy Curry,C,New York Knicks,10500423
54,Chris Kaman,C,Los Angeles Clippers,10400000
55,Luol Deng,SF,Chicago Bulls,10365000
56,Tayshaun Prince,SF,Detroit Pistons,10324380
57,Danny Granger,SF,Indiana Pacers,10130500
58,Al Harrington,PF,New York Knicks,10026875
59,Ben Gordon,SG,Detroit Pistons,10000000
60,Andrew Bogut,C,Milwaukee Bucks,10000000
61,Mike Dunleavy,SF,Indiana Pacers,9780992
62,Caron Butler,SF,Washington Wizards,9780970
63,Mike Miller,SF,Washington Wizards,9780937
64,Kevin Martin,SG,Sacramento Kings,9680170
65,Cuttino Mobley,SG,Los Angeles Clippers,9500000
66,Kirk Hinrich,SG,Chicago Bulls,9500000
67,Gerald Wallace,SF,Charlotte Bobcats,9500000
68,Jamal Crawford,SG,Atlanta Hawks,9360000
69,Marcus Camby,C,Portland Trail Blazers,9150000
70,David West,PF,New Orleans Hornets,9075000
71,Jason Terry,SG,Dallas Mavericks,9075000
72,Andris Biedrins,C,Golden State Warriors,9000000
73,Hedo Turkoglu,SF,Toronto Raptors,9000000
74,Corey Maggette,SF,Golden State Warriors,8937931
75,Mo Williams,PG,Cleveland Cavaliers,8860000
76,Kenny Thomas,PF,Sacramento Kings,8775000
77,Quentin Richardson,SF,Miami Heat,8700000
78,T.J. Ford,PG,Indiana Pacers,8500000
79,Devin Harris,PG,New Jersey Nets,8400000
80,Jose Calderon,PG,Toronto Raptors,8219009
81,Jason Kidd,PG,Dallas Mavericks,8100000
82,Jameer Nelson,PG,Orlando Magic,8100000
83,Mark Blount,C,Miami Heat,7967375
84,Etan Thomas,C,Oklahoma City Thunder,7906088
85,Paul Millsap,PF,Utah Jazz,7692932
86,Stephen Jackson,SF,Charlotte Bobcats,7650000
87,Darko Milicic,C,New York Knicks,7540000
88,Marvin Williams,PF,Atlanta Hawks,7500000
89,Lamar Odom,PF,Los Angeles Lakers,7500000
90,Marko Jaric,PG,Brooklyn Nets,7100000
91,Udonis Haslem,PF,Miami Heat,7100000
92,David Lee,PF,New York Knicks,7000000
93,Shane Battier,SF,Houston Rockets,6939200
94,Joel Przybilla,C,Portland Trail Blazers,6857725
95,Dan Gadzuric,C,Milwaukee Bucks,6749260
96,Andre Miller,PG,Portland Trail Blazers,6730800
97,Shawn Marion,SF,Dallas Mavericks,6635068
98,Tony Battie,C,New Jersey Nets,6606600
99,Antonio Daniels,PG,Philadelphia 76ers,6600000
100,Leandro Barbosa,SG,Phoenix Suns,6600000
101,Jerome James,C,Chicago Bulls,6600000
102,Andrea Bargnani,C,Toronto Raptors,6527491
103,Luke Ridnour,PG,Milwaukee Bucks,6500000
104,Charlie Villanueva,PF,Detroit Pistons,6500000
105,Mike James,PG,Washington Wizards,6466600
106,Jared Jeffries,PF,New York Knicks,6466600
107,Nazr Mohammed,C,Charlotte Bobcats,6466600
108,John Salmons,SF,Milwaukee Bucks,6429151
109,Anderson Varejao,C,Cleveland Cavaliers,6363636
110,Nick Collison,PF,Oklahoma City Thunder,6250000
111,Mike Bibby,PG,Atlanta Hawks,6217617
112,Jason Kapono,SG,Philadelphia 76ers,6212960
113,J.R. Smith,SG,Denver Nuggets,6171426
114,Jeff Foster,PF,Indiana Pacers,6077500
115,James Posey,SF,New Orleans Hornets,6031800
116,Beno Udrih,PG,Sacramento Kings,6031800
117,DeSagana Diop,C,Charlotte Bobcats,6031800
118,Brendan Haywood,C,Washington Wizards,6000000
119,Rasheed Wallace,PF,Boston Celtics,5854000
120,Metta World Peace,SF,Los Angeles Lakers,5854000
121,Marcin Gortat,C,Orlando Magic,5854000
122,Trevor Ariza,SF,Houston Rockets,5854000
123,LaMarcus Aldridge,PF,Portland Trail Blazers,5844827
124,Morris Peterson,SG,New Orleans Hornets,5800000
125,Francisco Garcia,SG,Sacramento Kings,5800000
126,Raymond Felton,PG,Charlotte Bobcats,5501196
127,Greg Oden,C,Portland Trail Blazers,5361240
128,Mickael Pietrus,SF,Orlando Magic,5300000
129,Adam Morrison,SF,Los Angeles Lakers,5257229
