TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Jiri Welsch,GF,81.0,68.0,26.9,9.2,0.7,2.9,3.7,2.3,1.25,0.09,1.6,2.2,1.4,12.7,3.2,7.6,0.428,0.9,2.2,0.381,1.9,2.5,0.74,2.3,5.4,0.44799999999999995,1.219,0.48
BOS,Ricky Davis,SG,57.0,5.0,29.4,14.1,1.0,3.1,4.2,2.6,1.25,0.25,2.1,2.1,1.2,16.1,5.5,11.2,0.488,0.6,1.6,0.38,2.5,3.5,0.73,4.9,9.6,0.506,1.258,0.52
BOS,Dana Barros,PG,1.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.9,2.0,3.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.667,2.0,0.67
BOS,Kendrick Perkins,C,10.0,0.0,3.5,2.2,0.5,0.9,1.4,0.3,0.0,0.2,0.5,0.6,0.6,22.8,0.8,1.5,0.5329999999999999,0.0,0.0,0.0,0.6,0.9,0.67,0.8,1.5,0.5329999999999999,1.4669999999999999,0.53
BOS,Brandon Hunter,PF,36.0,12.0,11.3,3.5,1.4,1.9,3.3,0.5,0.36,0.03,0.6,1.1,0.9,12.7,1.5,3.2,0.457,0.0,0.1,0.0,0.5,1.2,0.44,1.5,3.1,0.469,1.078,0.46
BOS,Kedrick Brown,SG,21.0,10.0,19.4,5.2,0.9,2.4,3.2,1.2,0.81,0.1,0.6,1.8,2.1,12.5,2.1,4.7,0.455,0.6,1.5,0.375,0.4,0.6,0.62,1.5,3.2,0.493,1.111,0.52
BOS,Michael Stewart,PF,17.0,0.0,4.2,0.3,0.2,0.5,0.6,0.0,0.06,0.12,0.1,0.8,0.0,4.3,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1,0.5,0.1,0.3,0.4,1.0,0.4
BOS,Paul Pierce,SF,80.0,80.0,38.7,23.0,0.9,5.7,6.5,5.1,1.64,0.65,3.8,2.9,1.4,19.4,7.5,18.7,0.402,1.4,4.8,0.299,6.5,7.9,0.82,6.1,13.9,0.43799999999999994,1.226,0.44
BOS,Tony Battie,C,23.0,6.0,21.8,5.9,1.7,3.4,5.1,0.9,0.35,0.87,1.0,2.4,0.9,12.0,2.4,5.1,0.479,0.0,0.0,1.0,1.0,1.4,0.7,2.4,5.1,0.474,1.162,0.48
BOS,Chucky Atkins,PG,24.0,24.0,33.0,12.0,0.1,1.8,1.9,5.3,1.08,0.04,1.8,1.8,2.9,12.1,4.3,10.4,0.418,1.6,4.6,0.35100000000000003,1.8,2.3,0.78,2.7,5.8,0.47100000000000003,1.161,0.5
BOS,Raef LaFrentz,C,17.0,1.0,19.3,7.8,1.8,2.9,4.6,1.4,0.47,0.76,0.6,2.8,2.2,16.8,3.4,7.3,0.46,0.5,2.4,0.2,0.6,0.8,0.77,2.9,4.9,0.583,1.065,0.49
BOS,Marcus Banks,PG,81.0,2.0,17.1,5.9,0.4,1.3,1.6,2.2,1.09,0.16,1.5,2.1,1.4,11.0,2.2,5.5,0.4,0.3,1.1,0.314,1.2,1.6,0.76,1.9,4.4,0.42100000000000004,1.0859999999999999,0.43
BOS,Vin Baker,PF,37.0,33.0,27.0,11.3,2.1,3.6,5.7,1.5,0.59,0.62,1.4,2.6,1.0,14.8,4.5,9.0,0.505,0.0,0.0,0.0,2.2,3.0,0.73,4.5,9.0,0.506,1.255,0.5
BOS,Mark Blount,C,82.0,73.0,29.3,10.3,2.5,4.7,7.2,0.9,0.98,1.29,1.8,3.1,0.5,16.1,4.2,7.4,0.5660000000000001,0.0,0.0,0.0,1.9,2.7,0.72,4.2,7.4,0.5660000000000001,1.396,0.57
BOS,Eric Williams,PF,21.0,0.0,24.4,11.6,1.0,3.5,4.5,1.2,1.05,0.05,1.5,2.5,0.8,12.5,3.7,8.4,0.435,0.5,1.5,0.344,3.7,5.2,0.72,3.2,6.9,0.455,1.3730000000000002,0.47
BOS,Mike James,PG,55.0,55.0,30.6,10.7,0.4,2.8,3.2,4.4,1.27,0.04,1.5,2.1,2.9,14.4,3.9,9.3,0.418,1.6,4.1,0.381,1.4,1.7,0.8,2.3,5.2,0.447,1.153,0.5
BOS,Jumaine Jones,SF,42.0,2.0,8.9,2.2,0.6,1.0,1.6,0.3,0.29,0.21,0.5,1.1,0.7,7.6,0.8,2.3,0.344,0.3,1.0,0.295,0.3,0.5,0.61,0.5,1.3,0.385,0.9690000000000001,0.41
BOS,Walter McCarty,PF,77.0,23.0,24.7,7.9,0.4,2.7,3.1,1.6,0.94,0.29,1.2,2.3,1.4,10.9,2.6,6.8,0.38799999999999996,1.8,4.8,0.374,0.8,1.1,0.76,0.8,2.0,0.42,1.157,0.52
BOS,Chris Mihm,C,54.0,16.0,17.4,6.1,2.0,3.0,5.1,0.2,0.52,0.76,1.2,2.8,0.2,14.7,2.4,4.7,0.5,0.0,0.0,0.0,1.4,2.2,0.64,2.4,4.7,0.5,1.2990000000000002,0.5
BKN,Alonzo Mourning,C,12.0,0.0,17.9,8.0,0.7,1.6,2.3,0.7,0.17,0.5,0.8,2.7,0.8,13.3,2.8,5.9,0.465,0.0,0.0,0.0,2.5,2.8,0.88,2.8,5.9,0.465,1.3519999999999999,0.46
BKN,Brian Scalabrine,PF,69.0,2.0,13.4,3.5,0.6,1.9,2.5,0.9,0.3,0.2,0.6,1.6,1.5,9.5,1.2,3.2,0.395,0.1,0.6,0.244,0.8,1.0,0.83,1.1,2.6,0.429,1.101,0.42
BKN,Brandon Armstrong,SG,56.0,0.0,7.8,2.7,0.2,0.6,0.8,0.3,0.21,0.04,0.4,0.9,0.6,5.5,1.2,3.1,0.371,0.3,0.9,0.365,0.0,0.1,0.5,0.9,2.2,0.374,0.863,0.43
BKN,Richard Jefferson,SF,82.0,82.0,38.2,18.5,1.3,4.3,5.7,3.8,1.12,0.34,2.4,2.7,1.6,18.2,6.8,13.6,0.498,0.6,1.6,0.364,4.4,5.7,0.76,6.2,12.0,0.516,1.359,0.52
BKN,Kenyon Martin,PF,65.0,62.0,34.6,16.7,2.0,7.4,9.5,2.5,1.46,1.26,2.6,3.5,1.0,18.8,6.8,13.8,0.488,0.1,0.4,0.28,3.1,4.5,0.68,6.7,13.4,0.494,1.207,0.49
BKN,Anthony Goldwire,PG,6.0,0.0,3.2,0.7,0.0,0.2,0.2,0.2,0.33,0.0,0.2,0.0,1.0,8.8,0.3,1.3,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0,0.33299999999999996,0.5,0.25
BKN,Jason Collins,C,78.0,78.0,28.5,5.9,1.8,3.3,5.1,2.0,0.86,0.72,1.2,3.2,1.6,10.1,2.1,4.9,0.424,0.0,0.0,0.0,1.7,2.4,0.74,2.1,4.9,0.42700000000000005,1.203,0.42
BKN,Damone Brown,PF,3.0,0.0,5.7,1.0,1.0,0.7,1.7,0.0,0.67,0.0,0.3,0.7,0.0,-4.4,0.3,3.3,0.1,0.0,0.0,0.0,0.3,0.7,0.5,0.3,3.3,0.1,0.3,0.1
BKN,Zoran Planinic,PG,49.0,1.0,9.7,3.1,0.3,0.8,1.1,1.4,0.27,0.06,0.7,1.4,1.9,10.0,1.1,2.6,0.41100000000000003,0.2,0.7,0.281,0.8,1.2,0.63,0.9,1.9,0.45399999999999996,1.186,0.45
BKN,Jason Kidd,PG,67.0,66.0,36.6,15.5,1.3,5.1,6.4,9.2,1.82,0.21,3.2,1.6,2.9,19.7,5.5,14.3,0.384,1.4,4.4,0.321,3.1,3.7,0.83,4.1,9.9,0.41100000000000003,1.08,0.43
BKN,Robert Pack,PG,26.0,0.0,8.5,1.9,0.2,0.5,0.7,1.0,0.46,0.04,0.6,0.8,1.7,8.1,0.8,2.0,0.423,0.0,0.0,0.0,0.2,0.2,0.83,0.8,2.0,0.423,0.9420000000000001,0.42
BKN,Hubert Davis,SG,14.0,0.0,3.9,0.3,0.1,0.4,0.6,0.2,0.14,0.0,0.1,0.6,1.5,-2.3,0.1,0.6,0.111,0.0,0.0,0.0,0.1,0.1,1.0,0.1,0.6,0.111,0.444,0.11
BKN,Rodney Rogers,SF,69.0,15.0,20.4,7.8,1.4,3.0,4.4,2.0,0.86,0.39,1.4,2.7,1.4,14.2,3.0,7.3,0.41,0.7,2.2,0.32899999999999996,1.1,1.4,0.77,2.3,5.1,0.445,1.067,0.46
BKN,Doug Overton,PG,6.0,0.0,3.7,1.3,0.0,0.2,0.2,0.7,0.17,0.0,0.3,0.7,2.0,7.5,0.5,1.3,0.375,0.0,0.0,0.0,0.3,0.3,1.0,0.5,1.3,0.375,1.0,0.38
