TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Brian Scalabrine,PF,54,17,19.0,4.0,0.4,1.5,1.9,1.1,0.43,0.33,0.8,2.4,1.3,6.6,1.4,3.5,0.40299999999999997,0.8,2.0,0.4,0.3,0.4,0.78,0.6,1.5,0.40700000000000003,1.131,0.52
BOS,Al Jefferson,C,69,60,33.6,16.0,3.4,7.5,11.0,1.3,0.7,1.54,2.0,3.4,0.6,19.9,6.6,12.8,0.514,0.0,0.0,0.0,2.9,4.3,0.68,6.6,12.8,0.514,1.255,0.51
BOS,Theo Ratliff,C,2,2,22.0,2.5,1.0,2.5,3.5,0.0,0.5,1.5,0.5,3.0,0.0,6.9,0.5,1.5,0.33299999999999996,0.0,0.0,0.0,1.5,2.0,0.75,0.5,1.5,0.33299999999999996,1.6669999999999998,0.33
BOS,Sebastian Telfair,PG,78,30,20.2,6.1,0.2,1.2,1.4,2.8,0.55,0.14,1.3,2.1,2.2,8.6,2.3,6.1,0.371,0.5,1.6,0.289,1.2,1.4,0.82,1.8,4.5,0.402,1.011,0.41
BOS,Kendrick Perkins,C,72,53,21.9,4.5,1.6,3.6,5.2,1.3,0.32,1.33,1.6,3.0,0.8,9.5,1.8,3.7,0.491,0.0,0.0,0.0,0.8,1.4,0.6,1.8,3.7,0.496,1.204,0.49
BOS,Tony Allen,SG,33,18,24.4,11.5,1.1,2.7,3.8,1.7,1.48,0.36,2.3,2.6,0.7,17.1,4.0,7.8,0.514,0.2,1.0,0.242,3.2,4.1,0.78,3.8,6.8,0.5529999999999999,1.463,0.53
BOS,Paul Pierce,SF,47,46,37.0,25.0,0.8,5.1,5.9,4.1,1.02,0.28,3.2,2.6,1.3,21.7,7.9,18.1,0.439,2.3,5.9,0.389,6.8,8.6,0.8,5.6,12.2,0.46299999999999997,1.38,0.5
BOS,Delonte West,SG,69,47,32.2,12.2,0.5,2.6,3.0,4.4,1.07,0.49,2.0,2.2,2.2,14.1,4.4,10.4,0.42700000000000005,0.9,2.6,0.365,2.4,2.9,0.85,3.5,7.8,0.447,1.179,0.47
BOS,Rajon Rondo,PG,78,25,23.5,6.4,0.9,2.8,3.7,3.8,1.64,0.1,1.8,2.3,2.2,13.2,2.4,5.8,0.418,0.1,0.4,0.207,1.5,2.4,0.65,2.3,5.4,0.43200000000000005,1.113,0.42
BOS,Wally Szczerbiak,SG,32,19,28.1,15.0,0.5,2.6,3.1,1.7,0.56,0.09,1.7,2.0,1.0,14.9,5.0,12.1,0.415,1.4,3.3,0.415,3.5,3.9,0.9,3.6,8.8,0.415,1.235,0.47
BOS,Gerald Green,SG,81,26,22.0,10.4,0.8,1.7,2.6,1.0,0.51,0.3,1.5,2.4,0.7,12.1,3.8,9.1,0.419,1.2,3.2,0.368,1.6,2.0,0.81,2.6,5.9,0.447,1.141,0.48
BOS,Leon Powe,PF,63,2,11.4,4.2,1.5,1.9,3.4,0.2,0.22,0.35,0.7,1.7,0.2,14.5,1.3,2.8,0.446,0.0,0.0,0.0,1.7,2.3,0.74,1.3,2.8,0.451,1.492,0.45
BOS,Kevinn Pinkney,PF,6,0,16.7,5.2,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2.0,1.3,11.7,2.0,4.5,0.444,0.2,0.3,0.5,1.0,1.5,0.67,1.8,4.2,0.44,1.148,0.46
BOS,Ryan Gomes,SF,73,60,31.2,12.1,1.7,3.9,5.6,1.6,0.66,0.18,1.4,2.3,1.1,13.7,4.6,9.9,0.46799999999999997,0.2,0.6,0.381,2.6,3.2,0.81,4.4,9.3,0.473,1.219,0.48
BOS,Michael Olowokandi,C,24,0,9.8,1.7,0.6,1.4,2.0,0.2,0.33,0.54,0.7,2.0,0.3,4.5,0.8,1.9,0.413,0.0,0.0,0.0,0.1,0.1,0.67,0.8,1.9,0.413,0.87,0.41
