TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Adrian Griffin,SG,72.0,47.0,26.8,6.7,1.8,3.4,5.2,2.5,1.61,0.21,1.3,3.1,1.9,2.4,5.7,0.424,0.2,0.8,0.281,1.7,2.2,0.75,2.2,4.9,0.447,1.1740000000000002,0.44
BOS,Calbert Cheaney,SG,67.0,19.0,19.5,4.0,0.3,1.7,2.1,1.2,0.66,0.21,0.7,2.4,1.7,1.8,4.1,0.44,0.3,0.8,0.33299999999999996,0.1,0.3,0.43,1.5,3.3,0.466,0.978,0.47
BOS,Jamel Thomas,F,3.0,0.0,6.3,3.7,0.0,0.7,0.7,0.7,0.0,0.0,0.3,0.0,2.0,1.7,3.3,0.5,0.0,0.3,0.0,0.3,0.3,1.0,1.7,3.0,0.556,1.1,0.5
BOS,Walter McCarty,PF,61.0,5.0,14.4,3.8,0.5,1.3,1.8,1.1,0.39,0.38,1.1,1.4,1.0,1.3,3.8,0.33899999999999997,0.6,1.8,0.309,0.6,0.9,0.72,0.7,2.0,0.36700000000000005,0.996,0.41
BOS,Kenny Anderson,PG,82.0,82.0,31.6,14.0,0.7,2.1,2.7,5.1,1.7,0.1,1.6,2.8,3.2,5.3,12.0,0.44,1.0,2.7,0.386,2.4,3.1,0.77,4.3,9.3,0.456,1.165,0.48
BOS,Eric Williams,PF,68.0,17.0,20.3,7.2,0.8,1.5,2.3,1.4,0.65,0.24,1.0,2.4,1.4,2.4,5.7,0.42700000000000005,0.4,1.1,0.34700000000000003,2.0,2.5,0.79,2.0,4.6,0.446,1.2670000000000001,0.46
BOS,Paul Pierce,SF,73.0,72.0,35.4,19.5,1.1,4.3,5.4,3.0,2.08,0.85,2.4,3.2,1.2,6.7,15.1,0.442,1.3,3.8,0.34299999999999997,4.9,6.2,0.8,5.4,11.3,0.47600000000000003,1.298,0.49
BOS,Vitaly Potapenko,C,79.0,72.0,22.7,9.2,2.3,4.0,6.3,1.0,0.52,0.37,1.8,3.0,0.5,3.9,7.8,0.499,0.0,0.0,0.0,1.4,2.0,0.68,3.9,7.8,0.5,1.176,0.5
BOS,Dana Barros,PG,72.0,0.0,15.8,7.2,0.2,1.2,1.4,1.8,0.43,0.06,0.9,1.1,2.0,2.7,6.0,0.451,0.8,2.0,0.41,0.9,1.1,0.87,1.9,4.0,0.47100000000000003,1.189,0.52
BOS,Wayne Turner,G,3.0,0.0,13.7,1.3,0.3,0.7,1.0,1.7,0.0,0.0,1.0,1.3,1.7,0.3,2.0,0.16699999999999998,0.0,0.0,0.0,0.7,2.0,0.33,0.3,2.0,0.16699999999999998,0.667,0.17
