TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Raef LaFrentz,C,80,80,27.5,11.1,1.9,5.0,6.9,1.2,0.53,1.24,0.9,3.3,1.4,17.3,4.3,8.6,0.496,1.0,2.8,0.364,1.5,1.9,0.81,3.3,5.8,0.5589999999999999,1.285,0.56
BOS,Walter McCarty,PF,44,0,12.6,3.7,0.5,1.3,1.8,0.6,0.34,0.2,0.4,1.9,1.5,8.2,1.4,3.4,0.413,0.7,2.0,0.33299999999999996,0.2,0.3,0.53,0.7,1.4,0.5329999999999999,1.08,0.51
BOS,Kendrick Perkins,C,60,3,9.1,2.5,0.9,2.1,2.9,0.4,0.15,0.62,0.7,1.6,0.5,11.2,0.9,2.0,0.47100000000000003,0.0,0.0,0.0,0.6,1.0,0.64,0.9,2.0,0.47100000000000003,1.252,0.47
BOS,Jiri Welsch,GF,55,32,20.5,7.5,0.4,2.2,2.5,1.5,0.71,0.09,1.1,1.9,1.4,11.0,2.5,5.8,0.428,0.6,1.8,0.32299999999999995,2.0,2.6,0.77,1.9,4.0,0.475,1.297,0.48
BOS,Tony Allen,SG,77,34,16.4,6.4,1.1,1.8,2.9,0.8,0.99,0.31,1.0,2.0,0.8,14.7,2.4,5.0,0.475,0.2,0.4,0.387,1.5,2.0,0.74,2.2,4.6,0.483,1.271,0.49
BOS,Justin Reed,SF,23,0,5.3,1.8,0.3,0.3,0.7,0.4,0.13,0.04,0.2,0.5,2.0,13.8,0.7,1.3,0.517,0.0,0.1,0.0,0.5,0.7,0.73,0.7,1.2,0.5770000000000001,1.4140000000000001,0.52
BOS,Paul Pierce,SF,82,82,36.1,21.6,1.0,5.6,6.6,4.2,1.62,0.48,2.8,3.1,1.5,21.8,6.8,14.9,0.455,1.3,3.6,0.37,6.7,8.1,0.82,5.5,11.3,0.48100000000000004,1.446,0.5
BOS,Delonte West,SG,39,7,13.0,4.5,0.4,1.3,1.7,1.4,0.54,0.21,0.6,1.8,2.2,12.3,1.7,4.0,0.426,0.6,1.7,0.358,0.5,0.7,0.7,1.1,2.3,0.47700000000000004,1.129,0.5
BOS,Gary Payton,PG,77,77,33.0,11.3,0.6,2.4,3.1,6.1,1.14,0.16,1.9,1.6,3.2,15.2,4.4,9.4,0.46799999999999997,0.5,1.7,0.326,2.0,2.6,0.76,3.9,7.7,0.498,1.204,0.5
BOS,Al Jefferson,C,71,1,14.8,6.7,1.7,2.7,4.4,0.3,0.31,0.77,0.9,2.7,0.4,16.7,2.7,5.2,0.528,0.0,0.0,0.0,1.2,1.9,0.63,2.7,5.2,0.5329999999999999,1.287,0.53
BOS,Marcus Banks,PG,81,2,14.1,4.6,0.4,1.2,1.6,1.9,0.78,0.16,1.0,1.8,2.0,12.4,1.4,3.5,0.402,0.3,0.7,0.35600000000000004,1.5,2.0,0.74,1.1,2.8,0.414,1.301,0.44
BOS,Tom Gugliotta,PF,20,0,10.9,1.3,0.8,1.4,2.2,0.6,0.45,0.2,0.5,1.2,1.3,9.9,0.6,1.9,0.297,0.0,0.0,0.0,0.2,0.3,0.67,0.6,1.9,0.297,0.703,0.3
BOS,Antoine Walker,PF,24,24,34.5,16.3,2.3,5.9,8.3,3.0,1.04,1.08,2.9,2.9,1.0,15.5,6.7,15.2,0.442,1.0,3.0,0.342,1.8,3.3,0.56,5.7,12.2,0.467,1.074,0.48
BOS,Mark Blount,C,82,57,26.0,9.4,1.7,3.1,4.8,1.6,0.4,0.78,1.9,2.8,0.8,12.6,4.0,7.5,0.529,0.0,0.0,0.0,1.4,2.0,0.71,4.0,7.5,0.53,1.248,0.53
BOS,Ricky Davis,SG,82,11,32.9,16.0,0.8,2.2,3.0,3.0,1.09,0.33,2.5,2.1,1.2,15.0,5.9,12.7,0.462,0.7,2.2,0.33899999999999997,3.5,4.3,0.81,5.2,10.5,0.488,1.2570000000000001,0.49
BKN,Kaniel Dickens,SF,11,0,5.5,1.2,0.3,0.5,0.8,0.1,0.18,0.09,0.2,0.5,0.5,6.7,0.4,1.3,0.28600000000000003,0.3,0.8,0.33299999999999996,0.2,0.2,1.0,0.1,0.5,0.2,0.929,0.39
BKN,Richard Jefferson,SF,33,33,41.1,22.2,1.5,5.8,7.3,4.0,1.0,0.52,4.0,3.3,1.0,16.6,7.2,17.1,0.42200000000000004,0.9,2.7,0.337,6.9,8.2,0.84,6.3,14.4,0.43799999999999994,1.3,0.45
BKN,Elden Campbell,C,10,0,5.0,0.2,0.3,0.8,1.1,0.3,0.0,0.1,0.1,1.0,3.0,7.2,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.0,0.7,0.0,0.28600000000000003,0.0
BKN,Alonzo Mourning,C,18,14,25.4,10.4,1.7,5.3,7.1,0.8,0.28,2.28,2.5,2.8,0.3,15.4,3.8,8.3,0.45299999999999996,0.0,0.0,0.0,2.8,4.8,0.59,3.8,8.3,0.45299999999999996,1.247,0.45
BKN,Jason Kidd,PG,66,65,36.9,14.4,1.4,6.0,7.4,8.3,1.86,0.14,2.5,1.7,3.3,19.6,5.2,13.0,0.39799999999999996,2.0,5.4,0.36,2.2,2.9,0.74,3.2,7.6,0.425,1.112,0.47
BKN,Donnell Harvey,PF,3,0,5.3,2.7,0.7,1.7,2.3,0.3,0.33,0.33,0.3,0.7,1.0,35.4,0.7,0.7,1.0,0.0,0.0,0.0,1.3,1.3,1.0,0.7,0.7,1.0,4.0,1.0
BKN,Jerome Moiso,C,8,0,3.0,1.0,0.4,0.5,0.9,0.0,0.0,0.13,0.1,0.3,0.0,12.3,0.4,0.5,0.75,0.0,0.0,0.0,0.3,0.5,0.5,0.4,0.5,0.75,2.0,0.75
BKN,Vince Carter,SG,57,56,38.9,27.5,1.4,4.5,5.9,4.7,1.47,0.58,2.6,3.3,1.8,22.9,10.0,21.7,0.462,1.9,4.5,0.425,5.6,6.8,0.82,8.1,17.2,0.47100000000000003,1.266,0.51
BKN,Eric Williams,PF,21,21,35.2,12.6,1.3,3.2,4.5,2.0,0.76,0.1,1.6,3.8,1.2,10.7,4.1,8.8,0.47,0.8,1.9,0.425,3.5,5.1,0.69,3.3,6.9,0.483,1.432,0.52
BKN,Rodney Buford,SF,64,17,20.5,7.0,0.5,2.4,3.0,1.0,0.63,0.06,0.5,1.6,1.8,9.5,2.9,7.6,0.382,0.5,1.7,0.315,0.6,0.7,0.82,2.4,5.9,0.402,0.91,0.42
BKN,Clifford Robinson,PF,29,0,20.7,6.0,0.8,2.5,3.3,1.0,0.62,0.48,0.9,2.6,1.2,10.3,2.1,5.8,0.361,0.9,2.3,0.379,0.9,1.3,0.69,1.2,3.5,0.35,1.03,0.43
BKN,Jabari Smith,C,45,2,14.4,3.7,0.6,1.8,2.5,0.8,0.56,0.31,0.9,2.3,1.0,8.4,1.4,3.3,0.419,0.0,0.0,0.5,0.9,1.2,0.75,1.4,3.3,0.418,1.122,0.42
BKN,Ron Mercer,SG,18,3,21.7,7.6,0.5,1.7,2.2,1.1,0.89,0.11,0.8,1.1,1.4,9.4,3.6,8.8,0.41100000000000003,0.0,0.2,0.0,0.4,0.6,0.7,3.6,8.6,0.419,0.867,0.41
BKN,Zoran Planinic,PG,43,8,12.0,5.0,0.4,1.2,1.6,1.0,0.58,0.0,1.0,1.8,1.1,12.5,1.8,4.0,0.44799999999999995,0.3,0.9,0.375,1.1,1.5,0.7,1.5,3.1,0.47,1.247,0.49
BKN,Aaron Williams,C,19,0,7.9,1.9,0.4,1.3,1.6,0.3,0.21,0.26,0.6,1.3,0.5,6.0,0.7,1.4,0.519,0.0,0.0,0.0,0.5,0.5,0.9,0.7,1.4,0.519,1.37,0.52
BKN,Jacque Vaughn,PG,71,34,19.9,5.3,0.2,1.3,1.5,1.9,0.58,0.01,0.9,1.9,2.2,8.9,2.1,4.6,0.449,0.1,0.2,0.33299999999999996,1.1,1.3,0.84,2.0,4.4,0.455,1.148,0.46
