TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Adrian Griffin,SG,44.0,0.0,8.6,2.1,0.6,1.4,2.0,0.6,0.41,0.11,0.4,1.0,1.5,0.8,2.2,0.34,0.2,0.6,0.34600000000000003,0.4,0.5,0.75,0.6,1.6,0.33799999999999997,0.9590000000000001,0.39
BOS,Chris Herren,G,25.0,7.0,16.3,3.3,0.2,0.7,0.8,2.2,0.56,0.0,0.8,1.7,2.8,1.2,3.8,0.302,0.6,2.2,0.29100000000000004,0.4,0.5,0.75,0.6,1.6,0.317,0.865,0.39
BOS,Rick Brunson,PG,7.0,0.0,20.3,3.7,0.3,1.0,1.3,3.4,1.0,0.14,1.3,2.3,2.7,1.4,5.0,0.28600000000000003,0.3,1.6,0.182,0.6,1.3,0.44,1.1,3.4,0.33299999999999996,0.743,0.31
BOS,Kenny Anderson,PG,33.0,28.0,25.7,7.5,0.5,1.7,2.2,4.1,1.33,0.06,1.6,1.9,2.6,2.7,6.9,0.38799999999999996,0.3,1.0,0.33299999999999996,1.8,2.2,0.83,2.4,5.9,0.397,1.084,0.41
BOS,Bryant Stith,G,78.0,74.0,32.1,9.7,0.8,2.8,3.6,2.2,1.19,0.18,1.2,2.3,1.9,3.1,7.8,0.401,1.2,3.1,0.376,2.2,2.7,0.85,1.9,4.7,0.41700000000000004,1.237,0.48
BOS,Randy Brown,G,54.0,35.0,22.9,4.1,0.4,1.4,1.8,2.9,1.15,0.19,1.0,2.4,2.8,1.9,4.4,0.42200000000000004,0.0,0.1,0.0,0.4,0.7,0.58,1.9,4.3,0.42700000000000005,0.941,0.42
BOS,Eric Williams,PF,81.0,11.0,21.5,6.6,0.8,1.8,2.6,1.4,0.79,0.16,0.9,2.2,1.5,2.0,5.5,0.36200000000000004,0.6,1.7,0.331,2.0,2.9,0.71,1.4,3.8,0.375,1.194,0.41
BOS,Paul Pierce,SF,82.0,82.0,38.0,25.3,1.1,5.2,6.4,3.1,1.68,0.84,3.2,3.1,1.0,8.4,18.5,0.45399999999999996,1.8,4.7,0.38299999999999995,6.7,9.0,0.75,6.6,13.8,0.478,1.369,0.5
BOS,Jerome Moiso,C,24.0,0.0,5.6,1.5,0.5,1.3,1.8,0.1,0.13,0.17,0.8,1.2,0.2,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.1,0.42,0.5,1.3,0.414,1.167,0.4
BOS,Vitaly Potapenko,C,82.0,7.0,23.2,7.5,2.5,3.5,6.0,0.8,0.63,0.28,1.3,2.8,0.6,3.0,6.4,0.47600000000000003,0.0,0.0,0.0,1.4,1.9,0.73,3.0,6.4,0.47600000000000003,1.173,0.48
BOS,Tony Battie,C,40.0,25.0,21.1,6.5,1.8,4.0,5.8,0.4,0.68,1.5,0.9,3.2,0.4,2.7,5.0,0.537,0.0,0.1,0.0,1.1,1.7,0.64,2.7,4.9,0.545,1.294,0.54
BOS,Doug Overton,PG,7.0,1.0,20.6,5.4,0.4,1.7,2.1,2.7,0.57,0.0,1.9,2.1,1.5,2.1,6.3,0.341,0.1,0.6,0.25,1.0,1.6,0.64,2.0,5.7,0.35,0.8640000000000001,0.35
BOS,Chris Carr,G,35.0,0.0,8.8,4.8,0.3,0.9,1.3,0.3,0.11,0.09,0.5,1.3,0.6,1.5,3.2,0.473,0.5,1.1,0.45899999999999996,1.3,1.7,0.77,1.0,2.1,0.48,1.5090000000000001,0.55
BOS,Mark Blount,C,64.0,50.0,17.2,3.9,1.5,2.1,3.6,0.5,0.61,1.19,1.0,2.9,0.5,1.6,3.1,0.505,0.0,0.0,0.0,0.7,1.0,0.7,1.6,3.1,0.505,1.24,0.51
