RK,PLAYER,POS,TEAM,SALARY
1,Shaquille O'Neal,C,Miami Heat,20000000
2,Chris Webber,C,Philadelphia 76ers,19125000
3,Kevin Garnett,PF,Minnesota Timberwolves,18000000
4,Allen Iverson,SG,Philadelphia 76ers,16453125
5,Stephon Marbury,PG,New York Knicks,16453125
6,Jason Kidd,PG,New Jersey Nets,16440000
7,Jermaine O'Neal,C,Indiana Pacers,16440000
8,Kobe Bryant,SG,Los Angeles Lakers,15946875
9,Tim Duncan,PF,San Antonio Spurs,15845157
10,Vin Baker,PF,Los Angeles Clippers,15750000
11,Penny Hardaway,SF,Orlando Magic,15750000
12,Tracy McGrady,SG,Houston Rockets,15694250
13,Grant Hill,SF,Orlando Magic,15694250
14,Eddie Jones,SG,Memphis Grizzlies,14666250
15,Tim Thomas,PF,Phoenix Suns,13975000
16,Antonio Davis,PF,Toronto Raptors,13865000
17,Vince Carter,SG,New Jersey Nets,13843156
18,Antawn Jamison,PF,Washington Wizards,13843156
19,Steve Francis,PG,Orlando Magic,13700000
20,Shawn Marion,SF,Phoenix Suns,13700000
21,Ray Allen,SG,Seattle SuperSonics,13223140
22,Elton Brand,PF,Los Angeles Clippers,13152000
23,Michael Redd,SG,Milwaukee Bucks,12000000
24,Joe Johnson,SF,Atlanta Hawks,12000000
25,Theo Ratliff,C,Portland Trail Blazers,11666666
26,Mike Bibby,PG,Sacramento Kings,11500000
27,Lamar Odom,PF,Los Angeles Lakers,11448596
28,Carlos Boozer,PF,Utah Jazz,11260483
29,Pau Gasol,PF,Memphis Grizzlies,10993000
30,Andrei Kirilenko,SF,Utah Jazz,10983000
31,Kenyon Martin,PF,Denver Nuggets,10886364
32,Rasheed Wallace,PF,Detroit Pistons,10860000
33,Zach Randolph,PF,Portland Trail Blazers,10666667
34,Raef LaFrentz,C,Boston Celtics,10623288
35,Wally Szczerbiak,SG,Minnesota Timberwolves,10500000
36,Larry Hughes,SG,Cleveland Cavaliers,10344900
37,Gilbert Arenas,PG,Washington Wizards,10243200
38,Richard Jefferson,SF,New Jersey Nets,10200000
39,Jamal Mashburn,SF,Philadelphia 76ers,10075000
40,Steve Nash,PG,Phoenix Suns,9625000
41,Rashard Lewis,PF,Seattle SuperSonics,9571429
42,Marcus Camby,C,Denver Nuggets,9400000
43,Maurice Taylor,PF,New York Knicks,9100000
44,Jason Richardson,SG,Golden State Warriors,8888888
45,Brad Miller,C,Sacramento Kings,8750000
46,Zydrunas Ilgauskas,C,Cleveland Cavaliers,8743238
47,Kelvin Cato,C,Orlando Magic,8640000
48,Samuel Dalembert,C,Philadelphia 76ers,8477178
