TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Brian Scalabrine,PF,48,9,10.7,1.8,0.5,1.2,1.6,0.8,0.19,0.17,0.5,1.3,1.5,5.2,0.6,2.0,0.309,0.3,1.0,0.326,0.3,0.4,0.75,0.3,1.0,0.292,0.9359999999999999,0.39
BOS,Scot Pollard,C,22,0,7.9,1.8,0.6,1.0,1.7,0.1,0.14,0.27,0.2,2.0,0.6,8.7,0.5,1.0,0.522,0.0,0.0,0.0,0.7,1.0,0.68,0.5,1.0,0.522,1.696,0.52
BOS,James Posey,SF,74,2,24.6,7.4,0.4,3.9,4.4,1.5,0.97,0.26,0.9,2.5,1.8,12.2,2.3,5.6,0.418,1.4,3.8,0.38,1.3,1.6,0.81,0.9,1.8,0.496,1.3159999999999998,0.55
BOS,Gabe Pruitt,PG,15,0,6.3,2.1,0.1,0.5,0.5,0.9,0.33,0.0,0.3,0.7,2.6,8.4,0.9,2.6,0.359,0.2,0.8,0.25,0.1,0.1,0.5,0.7,1.8,0.40700000000000003,0.821,0.4
BOS,Kendrick Perkins,C,78,78,24.5,6.9,1.9,4.2,6.1,1.1,0.4,1.46,1.6,3.1,0.7,13.4,2.7,4.5,0.615,0.0,0.0,0.0,1.5,2.3,0.62,2.7,4.5,0.617,1.557,0.61
BOS,P.J. Brown,PF,18,0,11.6,2.2,1.6,2.2,3.8,0.6,0.28,0.44,0.6,1.6,1.0,10.3,0.8,2.3,0.341,0.0,0.1,0.0,0.6,0.9,0.69,0.8,2.2,0.35,0.951,0.34
BOS,Tony Allen,SG,75,11,18.3,6.6,0.5,1.8,2.2,1.5,0.83,0.28,1.5,2.2,1.0,10.8,2.3,5.2,0.434,0.2,0.8,0.316,1.8,2.4,0.76,2.1,4.4,0.455,1.27,0.46
BOS,Kevin Garnett,PF,71,71,32.8,18.8,1.9,7.3,9.2,3.4,1.41,1.25,1.9,2.3,1.8,25.4,7.5,13.9,0.539,0.0,0.2,0.0,3.8,4.7,0.8,7.5,13.7,0.545,1.351,0.54
BOS,Paul Pierce,SF,80,80,35.9,19.6,0.7,4.5,5.1,4.5,1.26,0.45,2.8,2.5,1.6,19.9,6.4,13.7,0.46399999999999997,1.8,4.6,0.392,5.1,6.1,0.84,4.6,9.1,0.499,1.43,0.53
BOS,Ray Allen,SG,73,73,35.9,17.4,1.0,2.6,3.7,3.1,0.89,0.22,1.7,2.0,1.8,16.6,6.0,13.5,0.445,2.5,6.2,0.39799999999999996,2.9,3.2,0.91,3.5,7.3,0.485,1.291,0.54
