TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Stephon Marbury,PG,23,4,18.0,3.8,0.1,1.1,1.2,3.3,0.43,0.13,1.6,1.5,2.0,4.5,1.7,4.8,0.342,0.3,1.1,0.24,0.3,0.6,0.46,1.4,3.7,0.37200000000000005,0.7929999999999999,0.37
BOS,Brian Scalabrine,PF,39,8,12.9,3.5,0.2,1.1,1.3,0.5,0.18,0.26,0.3,1.9,1.5,7.4,1.2,2.9,0.42100000000000004,0.6,1.6,0.39299999999999996,0.4,0.5,0.89,0.6,1.3,0.45299999999999996,1.193,0.53
BOS,Gabe Pruitt,PG,47,0,7.8,2.0,0.2,0.7,0.9,0.8,0.32,0.06,0.4,0.7,2.1,7.6,0.7,2.1,0.307,0.3,1.0,0.292,0.4,0.4,0.81,0.4,1.1,0.321,0.9209999999999999,0.38
BOS,Kendrick Perkins,C,76,76,29.6,8.5,2.7,5.5,8.1,1.3,0.29,1.97,2.2,3.3,0.6,13.3,3.6,6.3,0.5770000000000001,0.0,0.0,0.0,1.3,2.1,0.6,3.6,6.3,0.58,1.3559999999999999,0.58
BOS,Tony Allen,SG,46,2,19.3,7.8,0.5,1.8,2.3,1.4,1.17,0.5,1.7,2.1,0.9,13.0,3.0,6.2,0.48200000000000004,0.1,0.6,0.222,1.7,2.4,0.72,2.9,5.6,0.51,1.264,0.49
BOS,Eddie House,SG,81,0,18.3,8.5,0.1,1.8,1.9,1.1,0.75,0.09,0.7,1.4,1.7,15.4,3.1,6.9,0.445,1.9,4.2,0.444,0.5,0.7,0.79,1.2,2.7,0.445,1.234,0.58
BOS,Paul Pierce,SF,81,81,37.5,20.5,0.7,5.0,5.6,3.6,0.99,0.33,2.8,2.7,1.3,17.7,6.7,14.6,0.457,1.5,3.8,0.391,5.7,6.8,0.83,5.2,10.8,0.48,1.4040000000000001,0.51
BOS,Kevin Garnett,PF,57,57,31.1,15.8,1.4,7.1,8.5,2.5,1.11,1.19,1.6,2.2,1.6,21.3,6.9,13.0,0.531,0.0,0.1,0.25,1.9,2.3,0.84,6.9,12.9,0.534,1.215,0.53
BOS,Rajon Rondo,PG,80,80,33.0,11.9,1.3,4.0,5.2,8.2,1.86,0.14,2.6,2.4,3.2,18.9,4.8,9.5,0.505,0.2,0.6,0.313,2.2,3.4,0.64,4.6,8.9,0.518,1.256,0.51
BOS,Patrick O'Bryant,C,26,0,4.2,1.5,0.3,1.0,1.3,0.3,0.12,0.31,0.7,1.1,0.5,9.5,0.6,1.2,0.516,0.0,0.0,0.0,0.3,0.5,0.67,0.6,1.2,0.516,1.29,0.52
BOS,Leon Powe,PF,70,7,17.5,7.7,2.1,2.9,4.9,0.7,0.34,0.54,1.1,2.7,0.6,17.2,2.5,4.8,0.524,0.0,0.0,0.0,2.6,3.8,0.69,2.5,4.8,0.524,1.5919999999999999,0.52
BOS,Mikki Moore,C,24,0,19.0,4.8,1.3,3.1,4.4,1.0,0.17,0.21,0.9,4.0,1.2,9.3,2.1,3.5,0.6,0.0,0.0,0.0,0.6,0.8,0.74,2.1,3.5,0.6,1.365,0.6
BOS,J.R. Giddens,SG,6,0,1.3,0.7,0.3,0.2,0.5,0.0,0.17,0.0,0.2,0.2,0.0,26.1,0.3,0.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.667,1.3330000000000002,0.67
BOS,Ray Allen,SG,79,79,36.4,18.2,0.8,2.7,3.5,2.8,0.87,0.16,1.7,2.0,1.6,17.3,6.3,13.2,0.48,2.5,6.2,0.409,3.0,3.2,0.95,3.8,7.0,0.542,1.379,0.58
BOS,Glen Davis,PF,76,16,21.5,7.0,1.6,2.4,4.0,0.9,0.7,0.25,0.9,3.0,1.0,10.8,2.6,5.9,0.442,0.0,0.1,0.4,1.7,2.3,0.73,2.6,5.8,0.44299999999999995,1.178,0.44
BOS,Bill Walker,SF,29,0,7.4,3.0,0.3,0.7,1.0,0.4,0.21,0.07,0.6,1.8,0.7,10.9,1.2,2.0,0.621,0.0,0.0,0.0,0.6,0.8,0.7,1.2,2.0,0.632,1.517,0.62
BKN,Keyon Dooling,PG,77,17,26.9,9.7,0.3,1.7,2.0,3.5,0.92,0.1,1.4,1.8,2.6,13.6,3.4,7.8,0.436,1.3,3.1,0.42100000000000004,1.6,2.0,0.82,2.1,4.7,0.446,1.251,0.52
BKN,Trenton Hassell,SF,53,30,20.6,3.7,0.9,1.8,2.8,1.0,0.4,0.3,0.6,1.7,1.7,7.2,1.6,3.6,0.45,0.0,0.2,0.25,0.4,0.5,0.8,1.6,3.4,0.45899999999999996,1.016,0.46
BKN,Josh Boone,PF,62,7,16.0,4.2,1.7,2.5,4.2,0.5,0.35,0.77,0.5,1.7,1.0,13.4,1.8,3.5,0.528,0.0,0.0,0.0,0.5,1.4,0.38,1.8,3.5,0.528,1.206,0.53
BKN,Vince Carter,SG,80,80,36.8,20.8,0.9,4.2,5.1,4.7,1.03,0.48,2.1,2.9,2.3,19.4,7.4,16.8,0.43700000000000006,1.9,4.9,0.385,4.2,5.1,0.82,5.5,11.9,0.45899999999999996,1.236,0.49
BKN,Yi Jianlian,PF,61,52,23.3,8.6,1.1,4.2,5.3,1.0,0.48,0.59,1.1,2.6,0.9,11.0,3.1,8.2,0.382,0.8,2.3,0.34299999999999997,1.6,2.0,0.77,2.3,5.9,0.397,1.05,0.43
BKN,Stromile Swift,PF,6,0,10.7,3.8,0.8,1.3,2.2,0.2,0.0,0.33,1.2,2.5,0.1,6.7,1.5,2.5,0.6,0.0,0.0,0.0,0.8,1.8,0.45,1.5,2.5,0.6,1.5330000000000001,0.6
BKN,Jarvis Hayes,SF,74,1,24.8,8.7,0.4,3.2,3.6,0.7,0.7,0.09,0.7,2.2,1.1,10.8,3.5,7.8,0.445,1.3,3.3,0.385,0.5,0.7,0.69,2.2,4.5,0.489,1.1159999999999999,0.53
BKN,Chris Douglas-Roberts,SG,44,2,13.3,4.9,0.3,0.8,1.1,1.2,0.27,0.16,0.7,0.8,1.7,12.2,1.8,4.0,0.46,0.1,0.3,0.25,1.2,1.4,0.82,1.7,3.7,0.47600000000000003,1.227,0.47
BKN,Bobby Simmons,SF,71,44,24.4,7.8,1.0,2.9,3.9,1.3,0.7,0.14,0.9,2.6,1.5,12.1,2.8,6.2,0.449,1.6,3.7,0.447,0.6,0.8,0.74,1.2,2.5,0.45299999999999996,1.261,0.58
BKN,Devin Harris,PG,69,69,36.1,21.3,0.4,2.9,3.3,6.9,1.65,0.19,3.1,2.4,2.2,21.6,6.6,15.1,0.43799999999999994,0.9,3.2,0.29100000000000004,7.2,8.8,0.82,5.7,11.9,0.47700000000000004,1.415,0.47
BKN,Eduardo Najera,PF,27,0,11.8,2.9,0.6,1.9,2.5,0.7,0.37,0.15,0.7,1.9,1.1,7.7,1.2,2.7,0.446,0.2,0.9,0.2,0.3,0.8,0.36,1.0,1.8,0.5710000000000001,1.068,0.48
BKN,Maurice Ager,SF,20,0,4.9,1.7,0.2,0.4,0.5,0.2,0.05,0.1,0.2,0.9,0.8,2.2,0.8,2.2,0.349,0.0,0.3,0.0,0.2,0.4,0.5,0.8,1.9,0.405,0.7909999999999999,0.35
BKN,Ryan Anderson,PF,66,29,19.9,7.4,1.6,3.1,4.7,0.8,0.67,0.3,1.0,2.4,0.8,13.6,2.4,6.2,0.39299999999999996,1.0,2.9,0.365,1.5,1.8,0.84,1.4,3.3,0.41700000000000004,1.197,0.48
BKN,Sean Williams,PF,33,0,11.1,2.4,1.0,1.4,2.4,0.4,0.21,0.88,0.6,2.2,0.7,8.8,0.9,2.2,0.41700000000000004,0.0,0.0,0.0,0.6,1.0,0.63,0.9,2.2,0.41700000000000004,1.111,0.42
BKN,Brook Lopez,C,82,74,30.5,13.0,2.7,5.4,8.1,1.0,0.54,1.84,1.8,3.1,0.6,17.9,5.5,10.3,0.531,0.0,0.0,0.0,2.1,2.6,0.79,5.5,10.3,0.532,1.265,0.53
NY,Chris Wilcox,PF,25,0,13.2,5.4,1.2,2.0,3.3,0.6,0.32,0.2,0.8,1.9,0.7,13.3,2.2,4.1,0.529,0.0,0.0,0.0,1.1,2.1,0.51,2.2,4.1,0.535,1.324,0.53
NY,Zach Randolph,PF,11,11,35.3,20.5,3.6,8.8,12.5,1.4,1.18,0.27,2.1,2.5,0.7,19.9,7.5,17.2,0.434,0.6,2.2,0.292,5.0,6.1,0.82,6.9,15.0,0.455,1.196,0.45
NY,Mardy Collins,PG,9,0,8.3,2.2,0.2,0.7,0.9,1.1,0.22,0.0,0.6,0.8,2.0,5.0,0.9,2.6,0.348,0.0,0.3,0.0,0.4,1.0,0.44,0.9,2.3,0.4,0.87,0.35
NY,Mouhamed Sene,C,1,0,6.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,32.1,1.0,2.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.5,0.5
NY,Jerome James,C,2,0,5.0,3.0,0.5,1.0,1.5,0.0,0.5,0.5,0.5,1.0,0.0,12.5,1.5,4.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,0.375,0.75,0.38
NY,Larry Hughes,SG,25,14,27.5,11.2,0.4,2.2,2.6,2.4,1.44,0.2,1.4,1.8,1.7,12.3,3.9,10.0,0.39,1.4,3.6,0.385,2.0,2.5,0.79,2.5,6.4,0.392,1.12,0.46
NY,Danilo Gallinari,SF,28,2,14.7,6.1,0.5,1.5,2.0,0.5,0.5,0.14,0.5,1.7,1.0,13.4,2.0,4.5,0.44799999999999995,1.1,2.6,0.444,0.9,1.0,0.96,0.9,1.9,0.45299999999999996,1.36,0.58
NY,Jared Jeffries,PF,56,36,23.4,5.3,2.3,1.8,4.1,1.4,0.84,0.59,1.2,2.7,1.2,9.5,2.1,4.9,0.44,0.0,0.2,0.083,1.0,1.6,0.61,2.1,4.7,0.456,1.084,0.44
NY,Nate Robinson,PG,74,11,29.9,17.2,1.3,2.6,3.9,4.1,1.28,0.08,1.9,2.8,2.2,18.9,6.1,13.9,0.43700000000000006,1.7,5.2,0.325,3.4,4.0,0.84,4.4,8.7,0.504,1.237,0.5
NY,Chris Duhon,PG,79,78,36.8,11.1,0.6,2.5,3.1,7.2,0.91,0.09,2.8,1.6,2.6,12.3,3.6,8.6,0.42100000000000004,1.6,4.1,0.391,2.3,2.6,0.86,2.0,4.5,0.449,1.2919999999999998,0.51
NY,Malik Rose,PF,18,0,8.9,1.7,0.2,1.5,1.7,0.6,0.06,0.06,0.9,1.3,0.6,-1.9,0.6,2.3,0.268,0.0,0.2,0.0,0.4,0.6,0.73,0.6,2.1,0.297,0.732,0.27
NY,David Lee,PF,81,74,34.9,16.0,3.2,8.6,11.7,2.1,0.99,0.27,1.9,3.2,1.2,19.1,6.4,11.7,0.5489999999999999,0.0,0.0,0.0,3.1,4.1,0.75,6.4,11.7,0.551,1.36,0.55
