RK,PLAYER,POS,TEAM,SALARY
1,Kevin Garnett,PF,Boston Celtics,23751934
2,Shaquille O'Neal,C,Phoenix Suns,21000000
3,Jason Kidd,PG,New Jersey Nets,19728000
4,Jermaine O'Neal,C,Indiana Pacers,19728000
5,Kobe Bryant,SG,Los Angeles Lakers,19490625
6,Tim Duncan,PF,San Antonio Spurs,19014188
7,Allen Iverson,SG,Denver Nuggets,19012500
8,Stephon Marbury,PG,New York Knicks,19012500
9,Tracy McGrady,SG,Houston Rockets,18257750
10,Baron Davis,PG,Golden State Warriors,16440000
11,Shawn Marion,SF,Phoenix Suns,16440000
12,Paul Pierce,SF,Boston Celtics,16360094
13,Antawn Jamison,PF,Washington Wizards,16360094
14,Ray Allen,SG,Boston Celtics,16000000
15,Ben Wallace,PF,Cleveland Cavaliers,15500000
16,Elton Brand,PF,Los Angeles Clippers,15344000
17,Mike Bibby,PG,Sacramento Kings,14983603
18,Rashard Lewis,PF,Orlando Magic,14884951
19,Michael Redd,SG,Milwaukee Bucks,14520000
20,Amar'e Stoudemire,PF,Phoenix Suns,13762775
21,Yao Ming,C,Houston Rockets,13762775
22,Andrei Kirilenko,SF,Utah Jazz,13735000
23,Pau Gasol,PF,Memphis Grizzlies,13735000
24,Joe Johnson,SF,Atlanta Hawks,13488378
25,Zach Randolph,PF,New York Knicks,13333333
26,Vince Carter,SG,New Jersey Nets,13325000
27,Kenyon Martin,PF,Denver Nuggets,13250000
28,Lamar Odom,PF,Los Angeles Lakers,13248596
29,Carmelo Anthony,SF,Denver Nuggets,13041250
30,Dwyane Wade,SG,Miami Heat,13041250
31,Chris Bosh,C,Toronto Raptors,13041250
32,LeBron James,SF,Cleveland Cavaliers,13041250
33,Rasheed Wallace,PF,Detroit Pistons,12540000
34,Raef LaFrentz,C,Portland Trail Blazers,12440787
35,Wally Szczerbiak,SG,Seattle SuperSonics,12275000
36,Richard Jefferson,SF,New Jersey Nets,12200000
37,Larry Hughes,SG,Cleveland Cavaliers,12000084
38,Gilbert Arenas,PG,Washington Wizards,11950400
39,Peja Stojakovic,SF,New Orleans Hornets,11664000
40,Carlos Boozer,PF,Utah Jazz,11593816
41,Steve Nash,PG,Phoenix Suns,11375000
42,Kirk Hinrich,SG,Chicago Bulls,11250000
43,Jason Richardson,SG,Charlotte Bobcats,11111110
44,David West,PF,New Orleans Hornets,10650000
45,Erick Dampier,C,Dallas Mavericks,10590500
46,Tony Parker,PG,San Antonio Spurs,10500000
47,Tyson Chandler,C,New Orleans Hornets,10500000
48,Samuel Dalembert,C,Philadelphia 76ers,10251435
49,Zydrunas Ilgauskas,C,Cleveland Cavaliers,10142156
50,Marcus Camby,C,Denver Nuggets,10000000
51,Richard Hamilton,SG,Detroit Pistons,10000000
52,Andre Miller,PG,Philadelphia 76ers,9600000
53,Josh Howard,SF,Dallas Mavericks,9500000
54,Gerald Wallace,SF,Charlotte Bobcats,9500000
55,Kwame Brown,C,Memphis Grizzlies,9379279
56,Bobby Simmons,SF,Milwaukee Bucks,9280000
57,Troy Murphy,PF,Indiana Pacers,9206349
58,Manu Ginobili,SG,San Antonio Spurs,9079811
59,Boris Diaw,PF,Phoenix Suns,9000000
60,Mehmet Okur,C,Utah Jazz,9000000
61,Eddy Curry,C,New York Knicks,8947543
62,Jason Williams,PG,Miami Heat,8937500
63,Jason Terry,SG,Dallas Mavericks,8898000
64,Nene Hilario,PF,Denver Nuggets,8840000
65,Tayshaun Prince,SF,Detroit Pistons,8675620
66,Chris Kaman,C,Los Angeles Clippers,8600000
67,Andres Nocioni,SF,Chicago Bulls,8500000
68,Caron Butler,SF,Washington Wizards,8468990
69,Al Harrington,PF,Golden State Warriors,8425625
70,Mike Miller,SF,Memphis Grizzlies,8376194
71,Cuttino Mobley,SG,Los Angeles Clippers,8350000
72,Antoine Walker,PF,Minnesota Timberwolves,8329640
73,T.J. Ford,PG,Toronto Raptors,8275000
74,Darius Miles,SF,Portland Trail Blazers,8250000
75,Mike Dunleavy,SF,Indiana Pacers,8219008
76,Quentin Richardson,SF,New York Knicks,8105500
77,Kurt Thomas,PF,Seattle SuperSonics,8091188
78,Jamal Crawford,SG,New York Knicks,7920000
79,Mark Blount,C,Miami Heat,7901040
80,Kenny Thomas,PF,Sacramento Kings,7875000
81,Rasho Nesterovic,C,Toronto Raptors,7840000
82,Mo Williams,PG,Milwaukee Bucks,7750000
83,Metta World Peace,SF,Sacramento Kings,7400000
84,Malik Rose,PF,New York Knicks,7101250
85,Corey Maggette,SF,Los Angeles Clippers,7000000
86,Aaron McKie,SG,Memphis Grizzlies,7000000
87,Ricky Davis,SG,Miami Heat,6819000
88,Jerry Stackhouse,SF,Dallas Mavericks,6750000
89,Eric Snow,PG,Cleveland Cavaliers,6703125
90,Stephen Jackson,SF,Golden State Warriors,6630000
91,Luke Ridnour,PG,Seattle SuperSonics,6500000
92,Chris Wilcox,PF,Seattle SuperSonics,6500000
93,Drew Gooden,PF,Cleveland Cavaliers,6453416
94,Antonio McDyess,PF,Detroit Pistons,6373900
95,Marquis Daniels,SG,Indiana Pacers,6373900
96,Etan Thomas,C,Washington Wizards,6373900
97,Speedy Claxton,PG,Atlanta Hawks,6306182
98,Jamaal Tinsley,PG,Indiana Pacers,6300000
99,Jason Collins,C,Memphis Grizzlies,6100000
100,Dwight Howard,C,Orlando Magic,6061274
101,Marko Jaric,PG,Minnesota Timberwolves,6050000
102,Udonis Haslem,PF,Miami Heat,6050000
103,Matt Harpring,SF,Utah Jazz,6000000
104,Shane Battier,SF,Houston Rockets,5883600
105,Brian Cardinal,PF,Memphis Grizzlies,5850000
106,Mike James,PG,Houston Rockets,5826893
107,Stromile Swift,PF,Memphis Grizzlies,5800000
108,Antonio Daniels,PG,Washington Wizards,5800000
109,Shareef Abdur-Rahim,PF,Sacramento Kings,5800000
110,Jerome James,C,New York Knicks,5800000
111,Joel Przybilla,C,Portland Trail Blazers,5762575
112,Dan Gadzuric,C,Milwaukee Bucks,5751130
113,Nick Collison,PF,Seattle SuperSonics,5750000
114,Bobby Jackson,PG,Houston Rockets,5670000
115,Jared Jeffries,PF,New York Knicks,5632200
116,Vladimir Radmanovic,SF,Los Angeles Lakers,5632200
117,Nazr Mohammed,C,Charlotte Bobcats,5632200
118,Leandro Barbosa,SG,Phoenix Suns,5600000
119,Donyell Marshall,PF,Seattle SuperSonics,5566965
120,Jeff Foster,PF,Indiana Pacers,5500000
121,Matt Carroll,SG,Charlotte Bobcats,5450000
122,Emeka Okafor,C,Charlotte Bobcats,5427307
123,Mikki Moore,C,Sacramento Kings,5356000
124,Jason Kapono,SG,Toronto Raptors,5356000
