TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
IND,Carlos Rogers,F,22.0,1.0,7.6,2.7,0.6,1.1,1.7,0.1,0.23,0.27,0.2,0.8,0.6,1.1,2.0,0.5579999999999999,0.0,0.3,0.16699999999999998,0.5,0.9,0.53,1.1,1.7,0.622,1.3719999999999999,0.57
IND,Metta World Peace,SF,28.0,24.0,29.3,10.9,1.2,3.8,5.0,1.8,2.36,0.57,1.8,3.9,1.0,4.2,10.2,0.41100000000000003,0.6,2.8,0.215,2.0,2.7,0.73,3.6,7.4,0.485,1.074,0.44
IND,Jonathan Bender,SF,78.0,17.0,21.1,7.4,0.8,2.3,3.1,0.8,0.24,0.63,1.2,1.9,0.6,2.5,5.9,0.43,0.6,1.6,0.36,1.8,2.3,0.77,1.9,4.3,0.457,1.263,0.48
IND,Jalen Rose,SG,53.0,53.0,36.5,18.5,0.5,4.2,4.7,3.7,0.85,0.55,2.0,2.8,1.9,7.3,16.4,0.444,1.0,2.8,0.35600000000000004,2.9,3.5,0.84,6.3,13.6,0.462,1.127,0.47
MIL,Greg Anthony,G,24.0,3.0,23.0,7.2,0.3,1.6,1.8,3.3,1.17,0.04,1.5,1.8,2.2,2.9,7.8,0.37200000000000005,0.8,3.0,0.26,0.5,0.9,0.62,2.1,4.8,0.44299999999999995,0.915,0.42
MIL,Greg Foster,C,6.0,0.0,4.0,1.2,0.0,1.3,1.3,0.2,0.0,0.0,0.0,0.7,0.0,0.3,1.5,0.222,0.0,0.7,0.0,0.5,0.7,0.75,0.3,0.8,0.4,0.778,0.22
MIL,Ervin Johnson,C,81.0,9.0,20.5,2.6,1.8,4.0,5.8,0.3,0.46,1.01,0.6,2.7,0.5,1.1,2.4,0.461,0.0,0.0,0.0,0.4,0.8,0.45,1.1,2.4,0.46399999999999997,1.078,0.46
MIL,Jason Caffey,F,23.0,0.0,12.3,4.3,1.0,1.1,2.2,0.5,0.17,0.22,0.8,1.7,0.6,1.6,3.1,0.5,0.0,0.0,0.0,1.2,1.9,0.63,1.6,3.1,0.507,1.375,0.5
MIL,Anthony Mason,F,82.0,82.0,38.3,9.6,1.5,6.4,7.9,4.2,0.7,0.27,1.6,2.3,2.7,3.9,7.6,0.505,0.0,0.0,1.0,1.9,2.7,0.7,3.9,7.6,0.504,1.2570000000000001,0.51
MIL,Glenn Robinson,SF,66.0,63.0,35.5,20.7,1.1,5.1,6.2,2.5,1.47,0.62,2.6,2.6,1.0,8.1,17.4,0.467,0.9,2.7,0.326,3.6,4.3,0.84,7.2,14.7,0.493,1.1909999999999998,0.49
MIL,Rafer Alston,PG,50.0,7.0,12.0,3.5,0.2,1.2,1.4,2.9,0.64,0.04,0.8,0.8,3.6,1.3,3.8,0.34600000000000003,0.5,1.4,0.38,0.4,0.6,0.62,0.8,2.4,0.325,0.927,0.42
MIL,Mark Pope,C,45.0,12.0,9.5,1.9,0.4,1.2,1.6,0.4,0.24,0.24,0.3,1.0,1.1,0.8,2.0,0.396,0.1,0.6,0.16,0.2,0.5,0.52,0.7,1.4,0.485,0.956,0.42
MIL,Sam Cassell,PG,74.0,73.0,35.2,19.7,0.7,3.5,4.2,6.7,1.22,0.16,2.4,2.8,2.8,7.5,16.2,0.46299999999999997,1.0,2.8,0.348,3.8,4.4,0.86,6.5,13.4,0.486,1.2209999999999999,0.49
MIL,Ray Allen,SG,69.0,67.0,36.6,21.8,1.2,3.3,4.5,3.9,1.28,0.26,2.3,2.3,1.7,7.7,16.6,0.462,3.3,7.7,0.434,3.1,3.6,0.87,4.4,8.9,0.485,1.3090000000000002,0.56
