TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Bill Walker,SF,8,0,3.6,1.0,0.0,0.6,0.6,0.4,0.0,0.0,0.3,0.5,1.5,7.6,0.4,0.8,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.4,0.8,0.5,1.3330000000000002,0.5
BOS,Shelden Williams,C,54,0,11.1,3.7,0.9,1.8,2.7,0.4,0.24,0.39,0.6,1.6,0.7,14.1,1.2,2.2,0.521,0.0,0.0,0.0,1.4,1.8,0.77,1.2,2.2,0.525,1.661,0.52
BOS,Brian Scalabrine,PF,52,3,9.1,1.5,0.2,0.8,0.9,0.5,0.17,0.08,0.3,1.1,1.6,3.6,0.6,1.6,0.341,0.3,0.9,0.327,0.1,0.1,0.67,0.3,0.7,0.361,0.9179999999999999,0.44
BOS,Michael Finley,SG,21,1,15.0,5.2,0.0,1.5,1.6,1.1,0.19,0.1,0.4,1.0,3.0,12.1,2.1,4.1,0.506,0.9,2.0,0.46299999999999997,0.1,0.3,0.33,1.2,2.1,0.5429999999999999,1.253,0.61
BOS,Marcus Landry,SF,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.8,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,Eddie House,SG,50,0,16.9,7.2,0.1,1.2,1.4,1.0,0.56,0.14,0.5,1.2,1.8,12.0,2.6,6.4,0.401,1.3,3.3,0.38299999999999995,0.7,0.8,0.9,1.3,3.1,0.419,1.112,0.5
BOS,Kendrick Perkins,C,78,78,27.6,10.1,2.0,5.6,7.6,1.0,0.33,1.69,2.1,2.8,0.5,15.1,4.0,6.7,0.602,0.0,0.0,0.0,2.1,3.6,0.58,4.0,6.7,0.605,1.515,0.6
BOS,J.R. Giddens,SG,21,1,4.7,1.1,0.2,0.8,1.0,0.3,0.19,0.05,0.3,0.5,0.9,7.4,0.4,1.0,0.429,0.0,0.1,0.0,0.3,0.6,0.5,0.4,0.9,0.474,1.143,0.43
BOS,Tony Allen,SG,54,8,16.5,6.1,1.0,1.7,2.7,1.3,1.09,0.35,1.2,2.0,1.1,14.2,2.4,4.7,0.51,0.0,0.1,0.0,1.3,2.2,0.61,2.4,4.6,0.52,1.304,0.51
BOS,Kevin Garnett,PF,69,69,29.9,14.3,1.1,6.2,7.3,2.7,0.99,0.83,1.5,2.5,1.8,19.5,5.8,11.2,0.521,0.0,0.1,0.2,2.7,3.2,0.84,5.8,11.1,0.523,1.2819999999999998,0.52
BOS,Paul Pierce,SF,71,71,34.0,18.3,0.5,3.8,4.4,3.1,1.18,0.44,2.3,2.8,1.3,18.2,5.8,12.2,0.47200000000000003,1.5,3.7,0.414,5.2,6.1,0.85,4.3,8.5,0.49700000000000005,1.495,0.53
