TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
BOS,Vander Blue,SG,3,0,5.0,1.7,0.0,1.0,1.0,0.3,0.0,0.0,0.7,0.3,0.5,0.5,0.7,1.3,0.5,0.0,0.3,0.0,0.3,1.7,0.2,0.7,1.0,0.667,1.25,0.5
BOS,Kris Humphries,PF,69,30,19.9,8.4,1.8,4.1,5.9,1.0,0.45,0.88,0.9,2.0,1.0,18.3,3.3,6.7,0.501,0.0,0.0,0.0,1.7,2.1,0.81,3.3,6.7,0.503,1.256,0.5
BOS,Jerryd Bayless,PG,41,14,25.3,10.1,0.3,1.8,2.1,3.1,0.98,0.1,1.5,2.2,2.1,12.5,3.9,9.2,0.418,1.2,3.1,0.395,1.2,1.5,0.8,2.7,6.1,0.43,1.101,0.49
BOS,Jared Sullinger,PF,74,44,27.6,13.3,3.3,4.9,8.1,1.6,0.47,0.66,1.6,3.4,1.0,16.4,5.2,12.1,0.42700000000000005,0.8,2.8,0.26899999999999996,2.1,2.7,0.78,4.4,9.3,0.475,1.092,0.46
BOS,Jeff Green,SF,82,82,34.2,16.9,0.7,4.0,4.6,1.7,0.7,0.57,2.0,2.2,0.8,13.2,5.9,14.3,0.41200000000000003,1.6,4.8,0.341,3.5,4.3,0.79,4.3,9.5,0.44799999999999995,1.18,0.47
BOS,Kelly Olynyk,C,70,9,20.0,8.7,2.0,3.2,5.2,1.6,0.5,0.39,1.5,3.2,1.0,15.3,3.3,7.2,0.466,0.6,1.6,0.35100000000000003,1.4,1.7,0.81,2.7,5.6,0.5,1.209,0.51
BOS,MarShon Brooks,SG,10,0,7.3,3.1,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,0.6,10.8,0.9,2.4,0.375,0.2,0.4,0.5,1.1,1.4,0.79,0.7,2.0,0.35,1.2919999999999998,0.42
BOS,Chris Babb,SG,14,0,9.4,1.6,0.3,0.9,1.2,0.2,0.43,0.0,0.2,0.9,1.0,3.7,0.6,2.1,0.267,0.4,1.9,0.222,0.0,0.0,0.0,0.2,0.2,0.667,0.733,0.37
BOS,Chris Johnson,SF,40,0,19.7,6.3,0.8,1.7,2.4,0.8,0.68,0.1,0.6,1.6,1.4,10.8,2.1,5.4,0.397,1.1,3.2,0.33899999999999997,0.9,1.1,0.86,1.0,2.2,0.483,1.168,0.5
BOS,Phil Pressey,PG,75,11,15.1,2.8,0.3,1.1,1.4,3.2,0.91,0.07,1.2,1.3,2.8,8.8,1.0,3.4,0.308,0.4,1.4,0.264,0.4,0.6,0.64,0.6,2.0,0.34,0.8420000000000001,0.36
BOS,Jordan Crawford,SG,39,35,30.7,13.7,0.5,2.6,3.1,5.7,0.87,0.08,2.2,1.9,2.7,15.7,4.8,11.7,0.413,1.3,4.0,0.318,2.8,3.2,0.87,3.5,7.7,0.46299999999999997,1.178,0.47
BOS,Courtney Lee,SG,30,0,16.8,7.4,0.3,1.4,1.6,1.1,0.67,0.3,0.8,1.2,1.3,14.7,3.0,6.1,0.49200000000000005,0.8,1.7,0.442,0.6,0.7,0.82,2.2,4.4,0.511,1.208,0.55
BOS,Rajon Rondo,PG,30,30,33.3,11.7,0.7,4.7,5.5,9.8,1.33,0.07,3.3,2.2,3.0,15.3,4.7,11.7,0.40299999999999997,0.9,3.0,0.289,1.4,2.2,0.63,3.8,8.7,0.442,1.0,0.44
BOS,Gerald Wallace,SF,58,16,24.4,5.1,0.6,3.0,3.7,2.5,1.26,0.24,1.7,1.4,1.5,10.0,2.0,4.0,0.504,0.3,1.1,0.297,0.8,1.7,0.47,1.7,2.9,0.584,1.296,0.55
BOS,Avery Bradley,PG,60,58,30.9,14.9,0.8,3.0,3.8,1.4,1.05,0.18,1.6,2.4,0.9,12.8,6.0,13.8,0.43799999999999994,1.3,3.3,0.395,1.5,1.9,0.8,4.7,10.5,0.451,1.08,0.49
BOS,Vitor Faverani,C,37,8,13.2,4.4,1.1,2.3,3.5,0.4,0.38,0.73,1.1,2.0,0.4,11.1,1.7,4.0,0.435,0.3,1.1,0.3,0.6,1.0,0.65,1.4,2.9,0.486,1.1159999999999999,0.48
BOS,Keith Bogans,SG,6,0,9.2,2.0,0.0,0.5,0.5,0.5,0.17,0.0,0.2,0.3,3.0,9.9,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,2.0,0.75
BOS,Brandon Bass,PF,82,73,27.6,11.1,2.0,3.8,5.7,1.1,0.44,0.87,1.2,2.3,0.9,15.0,4.3,8.8,0.486,0.0,0.1,0.33299999999999996,2.5,2.9,0.86,4.3,8.7,0.48700000000000004,1.2570000000000001,0.49
BOS,Joel Anthony,C,21,0,7.1,1.0,0.6,0.9,1.5,0.1,0.14,0.38,0.1,0.6,1.0,8.2,0.5,1.2,0.385,0.0,0.0,0.0,0.1,0.3,0.33,0.5,1.2,0.385,0.846,0.38
BKN,Tornike Shengelia,SF,17,0,8.1,1.5,0.2,0.6,0.8,0.7,0.12,0.06,0.6,0.9,1.1,3.3,0.6,1.4,0.45799999999999996,0.0,0.4,0.0,0.2,0.5,0.38,0.6,1.0,0.611,1.042,0.46
BKN,Reggie Evans,PF,30,6,13.3,2.7,1.8,3.2,5.0,0.2,0.43,0.07,0.9,1.8,0.2,9.0,0.8,2.0,0.39,0.0,0.0,0.0,1.2,2.2,0.54,0.8,2.0,0.39,1.3730000000000002,0.39
BKN,Deron Williams,PG,64,58,32.2,14.3,0.2,2.4,2.6,6.1,1.45,0.2,2.2,2.3,2.7,17.7,5.0,11.2,0.45,1.5,4.2,0.366,2.7,3.4,0.8,3.5,7.0,0.5,1.278,0.52
BKN,Tyshawn Taylor,PG,23,3,11.7,3.9,0.1,0.5,0.7,1.6,0.52,0.04,1.3,1.3,1.2,5.5,1.3,4.0,0.341,0.1,0.5,0.25,1.0,1.3,0.8,1.2,3.5,0.354,0.978,0.36
BKN,Joe Johnson,SF,79,79,32.6,15.8,0.6,2.8,3.4,2.7,0.59,0.13,1.5,1.6,1.8,15.5,5.8,12.9,0.45399999999999996,2.1,5.1,0.401,2.0,2.5,0.82,3.7,7.8,0.489,1.2229999999999999,0.53
BKN,Andray Blatche,C,73,7,22.2,11.2,1.6,3.7,5.3,1.5,1.03,0.52,1.5,2.3,1.0,18.8,4.4,9.2,0.47600000000000003,0.2,0.7,0.278,2.2,3.0,0.74,4.2,8.5,0.494,1.218,0.49
BKN,Shaun Livingston,PG,76,54,26.0,8.3,0.9,2.4,3.2,3.2,1.22,0.41,1.4,2.3,2.3,14.5,3.1,6.4,0.483,0.0,0.1,0.16699999999999998,2.1,2.5,0.83,3.1,6.3,0.486,1.2919999999999998,0.48
BKN,Jorge Gutierrez,PG,15,2,16.3,4.1,0.2,1.3,1.5,2.0,0.67,0.07,0.9,2.5,2.1,8.8,1.7,3.6,0.46299999999999997,0.2,0.8,0.25,0.6,0.8,0.75,1.5,2.8,0.524,1.148,0.49
